abdomen_x,abdomen_y,abdomen_z,neck_x,neck_y,neck_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow,right_hip_x,right_hip_y,right_hip_z,right_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee,left_ankle_x,left_ankle_y,left_ankle_z
-0.08848266,0.23417448,-0.09836062,0.0029470562,-0.6308728,0.045160595,-0.25976256,0.30191544,0.037950456,-1.435041,0.27274233,-0.33179894,-0.23096618,-2.016278,-0.16612598,-0.6868686,-0.15501396,1.9834509,0.040254634,0.37959865,-0.094990805,-0.13824283,-0.14621665,-0.067117326,0.6679071,-0.0109558925,-0.30912656,0.012161725
-0.08848266,0.23417448,-0.09836062,0.0029470562,-0.6308728,0.045160595,-0.25976256,0.30191544,0.037950456,-1.435041,0.27274233,-0.33179894,-0.23096618,-2.016278,-0.16612598,-0.6868686,-0.15501396,1.9834509,0.040254634,0.37959865,-0.094990805,-0.13824283,-0.14621665,-0.067117326,0.6679071,-0.0109558925,-0.30912656,0.012161725
-0.06664432,0.2012848,-0.19637552,-0.00065567764,-0.60672396,0.09523445,-0.27531645,0.37588832,0.018900586,-1.4530382,0.2736194,-0.38386437,-0.21123593,-2.0959554,-0.13853915,-0.82725245,-0.14457104,1.8233718,0.032396264,0.26213977,-0.11380249,-0.115156904,0.02065303,-0.096311525,0.5143993,-0.010768444,-0.15781838,-0.026024763
-0.06664432,0.2012848,-0.19637552,-0.00065567764,-0.60672396,0.09523445,-0.27531645,0.37588832,0.018900586,-1.4530382,0.2736194,-0.38386437,-0.21123593,-2.0959554,-0.13853915,-0.82725245,-0.14457104,1.8233718,0.032396264,0.26213977,-0.11380249,-0.115156904,0.02065303,-0.096311525,0.5143993,-0.010768444,-0.15781838,-0.026024763
-0.049594313,0.17302741,-0.2361214,-0.009114994,-0.6099151,0.10976984,-0.2786576,0.4380141,-0.015112456,-1.464621,0.28692374,-0.41501513,-0.20462945,-2.158291,-0.101685315,-0.89708054,-0.08015067,1.5758517,0.03691383,0.25305992,-0.15359457,-0.08482102,0.18454455,-0.09746789,0.33437654,-0.009193567,0.12775733,-0.059454378
-0.049594313,0.17302741,-0.2361214,-0.009114994,-0.6099151,0.10976984,-0.2786576,0.4380141,-0.015112456,-1.464621,0.28692374,-0.41501513,-0.20462945,-2.158291,-0.101685315,-0.89708054,-0.08015067,1.5758517,0.03691383,0.25305992,-0.15359457,-0.08482102,0.18454455,-0.09746789,0.33437654,-0.009193567,0.12775733,-0.059454378
-0.032206744,0.1340725,-0.22106875,-0.015745195,-0.5644089,0.13216476,-0.28853774,0.5082351,-0.054114975,-1.4825374,0.2988813,-0.40515217,-0.2137043,-2.20269,-0.06726019,-0.8986989,0.012642405,1.2527386,0.033181127,0.2266461,-0.1156719,-0.06463925,0.41917416,-0.08751093,0.0,-0.03818139,0.5583319,0.08730222
-0.032206744,0.1340725,-0.22106875,-0.015745195,-0.5644089,0.13216476,-0.28853774,0.5082351,-0.054114975,-1.4825374,0.2988813,-0.40515217,-0.2137043,-2.20269,-0.06726019,-0.8986989,0.012642405,1.2527386,0.033181127,0.2266461,-0.1156719,-0.06463925,0.41917416,-0.08751093,0.0,-0.03818139,0.5583319,0.08730222
-0.02731399,0.11977535,-0.2157718,-0.017769769,-0.54863226,0.15328185,-0.2944467,0.5213693,-0.06688642,-1.4909413,0.31612504,-0.3822137,-0.22596827,-2.2250285,-0.07179761,-0.8384612,0.09561751,0.8823264,0.029302783,0.19714695,-0.06429496,-0.07395228,0.5039018,-0.08642709,0.0,-0.05999234,0.5335833,0.17175192
-0.02731399,0.11977535,-0.2157718,-0.017769769,-0.54863226,0.15328185,-0.2944467,0.5213693,-0.06688642,-1.4909413,0.31612504,-0.3822137,-0.22596827,-2.2250285,-0.07179761,-0.8384612,0.09561751,0.8823264,0.029302783,0.19714695,-0.06429496,-0.07395228,0.5039018,-0.08642709,0.0,-0.05999234,0.5335833,0.17175192
