pelvis_x,pelvis_y,pelvis_z,torso_x,torso_y,torso_z,head_x,head_y,head_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_x,left_hand_y,left_hand_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-1.1252506,0.064137325,0.7732043,-1.1106433,0.050216407,1.0084916,-1.0460614,0.05869967,1.2227012,-1.0638485,-0.12318726,1.2557594,-1.2131225,-0.20267582,1.0391785,-1.019837,-0.21953921,0.86768526,-1.0630192,0.24273503,1.2410179,-1.0429707,0.29357958,0.9717201,-0.82602763,0.21035002,1.0860099,-1.1185658,-0.02031283,0.76779276,-0.8732315,-0.065115765,0.42793274,-1.2712924,-0.024476241,0.33911073,-1.1319354,0.14858748,0.7786159,-1.0938375,0.11822463,0.3598944,-1.3175545,0.09091887,0.01755163
-1.1252506,0.064137325,0.7732043,-1.1106433,0.050216407,1.0084916,-1.0460614,0.05869967,1.2227012,-1.0638485,-0.12318726,1.2557594,-1.2131225,-0.20267582,1.0391785,-1.019837,-0.21953921,0.86768526,-1.0630192,0.24273503,1.2410179,-1.0429707,0.29357958,0.9717201,-0.82602763,0.21035002,1.0860099,-1.1185658,-0.02031283,0.76779276,-0.8732315,-0.065115765,0.42793274,-1.2712924,-0.024476241,0.33911073,-1.1319354,0.14858748,0.7786159,-1.0938375,0.11822463,0.3598944,-1.3175545,0.09091887,0.01755163
-1.0089139,0.058910616,0.7970575,-0.98858815,0.04569958,1.031961,-0.92542654,0.048941664,1.2467368,-0.9558656,-0.13143103,1.2788494,-1.1249619,-0.20093906,1.0737066,-0.9418278,-0.23701315,0.8942237,-0.9299462,0.23363444,1.2657163,-0.8908023,0.2824148,0.99814075,-0.6976576,0.1880509,1.1425157,-0.99962837,-0.025285035,0.79151887,-0.7144753,-0.049416497,0.48199275,-1.0748417,-0.028403472,0.28785896,-1.0181994,0.14310627,0.80259615,-1.0598894,0.11771895,0.38388568,-1.2957916,0.092524126,0.049656957
-1.0089139,0.058910616,0.7970575,-0.98858815,0.04569958,1.031961,-0.92542654,0.048941664,1.2467368,-0.9558656,-0.13143103,1.2788494,-1.1249619,-0.20093906,1.0737066,-0.9418278,-0.23701315,0.8942237,-0.9299462,0.23363444,1.2657163,-0.8908023,0.2824148,0.99814075,-0.6976576,0.1880509,1.1425157,-0.99962837,-0.025285035,0.79151887,-0.7144753,-0.049416497,0.48199275,-1.0748417,-0.028403472,0.28785896,-1.0181994,0.14310627,0.80259615,-1.0598894,0.11771895,0.38388568,-1.2957916,0.092524126,0.049656957
-0.88722634,0.05464344,0.8209616,-0.8620322,0.042446554,1.0554478,-0.8001262,0.041631706,1.2706118,-0.8397636,-0.13711935,1.3017405,-1.0246677,-0.19355673,1.106462,-0.8526601,-0.24683374,0.92037463,-0.79550457,0.2262389,1.2903826,-0.7434243,0.27572823,1.0251527,-0.5713661,0.17146899,1.188185,-0.8786854,-0.029646207,0.8156596,-0.5780499,-0.03233838,0.5201734,-0.8668295,-0.031885717,0.22931331,-0.8957673,0.13893309,0.8262636,-1.0146496,0.12039662,0.42225316,-1.2528553,0.10205452,0.08921409
-0.88722634,0.05464344,0.8209616,-0.8620322,0.042446554,1.0554478,-0.8001262,0.041631706,1.2706118,-0.8397636,-0.13711935,1.3017405,-1.0246677,-0.19355673,1.106462,-0.8526601,-0.24683374,0.92037463,-0.79550457,0.2262389,1.2903826,-0.7434243,0.27572823,1.0251527,-0.5713661,0.17146899,1.188185,-0.8786854,-0.029646207,0.8156596,-0.5780499,-0.03233838,0.5201734,-0.8668295,-0.031885717,0.22931331,-0.8957673,0.13893309,0.8262636,-1.0146496,0.12039662,0.42225316,-1.2528553,0.10205452,0.08921409
-0.76181334,0.052159924,0.8418966,-0.7340291,0.041353926,1.0761583,-0.67790633,0.03672858,1.2928548,-0.72529644,-0.14052784,1.3216021,-0.92194617,-0.18455178,1.1347888,-0.75884527,-0.25290895,0.94563544,-0.666609,0.22088172,1.3141167,-0.60707885,0.27314293,1.0509944,-0.45137545,0.15839326,1.2231646,-0.75755507,-0.03250541,0.8374861,-0.46015918,-0.024479311,0.5388353,-0.6451968,-0.03689629,0.17332152,-0.7660716,0.13682526,0.8463071,-0.98132145,0.12602952,0.48401985,-1.1907812,0.11553852,0.1318694
-0.76181334,0.052159924,0.8418966,-0.7340291,0.041353926,1.0761583,-0.67790633,0.03672858,1.2928548,-0.72529644,-0.14052784,1.3216021,-0.92194617,-0.18455178,1.1347888,-0.75884527,-0.25290895,0.94563544,-0.666609,0.22088172,1.3141167,-0.60707885,0.27314293,1.0509944,-0.45137545,0.15839326,1.2231646,-0.75755507,-0.03250541,0.8374861,-0.46015918,-0.024479311,0.5388353,-0.6451968,-0.03689629,0.17332152,-0.7660716,0.13682526,0.8463071,-0.98132145,0.12602952,0.48401985,-1.1907812,0.11553852,0.1318694
-0.636485,0.0520724,0.8585588,-0.6070318,0.039888263,1.0925488,-0.5523828,0.03219042,1.3095344,-0.60530335,-0.14372212,1.3368523,-0.80494046,-0.18029252,1.1516063,-0.6444336,-0.25551164,0.96283877,-0.5356299,0.21577716,1.3320583,-0.4770313,0.27330586,1.0698273,-0.32825246,0.14791301,1.240693,-0.6351785,-0.032681018,0.85398114,-0.35850045,-0.02212815,0.5361148,-0.4249007,-0.043860026,0.13224337,-0.63779145,0.13682581,0.8631364,-0.886171,0.13052823,0.5225942,-1.1276709,0.12440507,0.19148433
-0.636485,0.0520724,0.8585588,-0.6070318,0.039888263,1.0925488,-0.5523828,0.03219042,1.3095344,-0.60530335,-0.14372212,1.3368523,-0.80494046,-0.18029252,1.1516063,-0.6444336,-0.25551164,0.96283877,-0.5356299,0.21577716,1.3320583,-0.4770313,0.27330586,1.0698273,-0.32825246,0.14791301,1.240693,-0.6351785,-0.032681018,0.85398114,-0.35850045,-0.02212815,0.5361148,-0.4249007,-0.043860026,0.13224337,-0.63779145,0.13682581,0.8631364,-0.886171,0.13052823,0.5225942,-1.1276709,0.12440507,0.19148433
