pelvis_w,pelvis_x,pelvis_y,pelvis_z,torso_w,torso_x,torso_y,torso_z,head_w,head_x,head_y,head_z,right_upper_arm_w,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_w,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_w,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_w,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_w,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_w,left_hand_x,left_hand_y,left_hand_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.9982698,0.030728009,0.029739168,0.040358435,0.989119,-0.019750595,0.14572977,-0.0040545445,0.98539263,-0.015359521,-0.16789377,0.024026249,0.94506955,-0.14361481,0.29204032,0.030510064,0.9040736,-0.08814398,-0.40136632,0.11741685,0.9040736,-0.08814398,-0.40136632,0.11741685,0.98600066,0.0970592,-0.023859888,-0.13346529,0.5057865,-0.061115496,-0.8467271,-0.15329179,0.5057865,-0.061115496,-0.8467271,-0.15329179,0.9492147,-0.041078176,-0.30854693,-0.04585758,0.7776995,0.01590159,0.62561435,-0.059476666,0.6416036,0.012840673,0.75977045,-0.104541644,0.99830234,-0.036368262,-0.045028113,0.0065033496,0.95790935,-0.03649073,0.28468382,-0.0057767527,0.99012,-0.04044604,0.13406602,0.0072648805
0.9982698,0.030728009,0.029739168,0.040358435,0.989119,-0.019750595,0.14572977,-0.0040545445,0.98539263,-0.015359521,-0.16789377,0.024026249,0.94506955,-0.14361481,0.29204032,0.030510064,0.9040736,-0.08814398,-0.40136632,0.11741685,0.9040736,-0.08814398,-0.40136632,0.11741685,0.98600066,0.0970592,-0.023859888,-0.13346529,0.5057865,-0.061115496,-0.8467271,-0.15329179,0.5057865,-0.061115496,-0.8467271,-0.15329179,0.9492147,-0.041078176,-0.30854693,-0.04585758,0.7776995,0.01590159,0.62561435,-0.059476666,0.6416036,0.012840673,0.75977045,-0.104541644,0.99830234,-0.036368262,-0.045028113,0.0065033496,0.95790935,-0.03649073,0.28468382,-0.0057767527,0.99012,-0.04044604,0.13406602,0.0072648805
0.99710065,0.030385703,0.04145053,0.056115583,0.98905146,-0.012724784,0.14213005,-0.03760812,0.9869861,-0.017017154,-0.15925741,0.014356044,0.9344348,-0.13896592,0.32774058,-0.0103095025,0.91619056,-0.11072412,-0.37573543,0.084604874,0.91619056,-0.11072412,-0.37573543,0.084604874,0.9810152,0.099526316,-0.056728814,-0.15647875,0.44069394,-0.08587966,-0.87829256,-0.16436474,0.44069394,-0.08587966,-0.87829256,-0.16436474,0.93077165,-0.019717362,-0.36397687,-0.02821666,0.8577548,0.010231138,0.51290524,-0.032867588,0.7798772,-0.00081962906,0.6196995,-0.08811077,0.9982598,-0.029631192,0.049852215,0.010682199,0.9527421,-0.031373776,0.30214307,0.0027934362,0.9733669,-0.040104523,0.22565049,-0.0055016098
0.99710065,0.030385703,0.04145053,0.056115583,0.98905146,-0.012724784,0.14213005,-0.03760812,0.9869861,-0.017017154,-0.15925741,0.014356044,0.9344348,-0.13896592,0.32774058,-0.0103095025,0.91619056,-0.11072412,-0.37573543,0.084604874,0.91619056,-0.11072412,-0.37573543,0.084604874,0.9810152,0.099526316,-0.056728814,-0.15647875,0.44069394,-0.08587966,-0.87829256,-0.16436474,0.44069394,-0.08587966,-0.87829256,-0.16436474,0.93077165,-0.019717362,-0.36397687,-0.02821666,0.8577548,0.010231138,0.51290524,-0.032867588,0.7798772,-0.00081962906,0.6196995,-0.08811077,0.9982598,-0.029631192,0.049852215,0.010682199,0.9527421,-0.031373776,0.30214307,0.0027934362,0.9733669,-0.040104523,0.22565049,-0.0055016098
0.9968829,0.028616339,0.052018613,0.05195822,0.9882534,-0.006924978,0.13945642,-0.06212227,0.98635495,-0.022138098,-0.16310854,-0.0030833252,0.9235014,-0.13043179,0.35729766,-0.049710244,0.92563033,-0.13022895,-0.35174555,0.050239228,0.92563033,-0.13022895,-0.35174555,0.050239228,0.97514534,0.106536955,-0.07772803,-0.17804429,0.3918268,-0.10666164,-0.89633805,-0.17796963,0.3918268,-0.10666164,-0.89633805,-0.17796963,0.9222127,-0.0027375706,-0.38666952,-0.001729104,0.92455935,-0.0007051078,0.38102445,-0.0031602085,0.8660322,-0.012450857,0.49323288,-0.08096118,0.9895136,-0.021067845,0.14267191,0.007985986,0.9519743,-0.022103038,0.30534798,0.0043687248,0.93014157,-0.0357688,0.364671,-0.023926487
0.9968829,0.028616339,0.052018613,0.05195822,0.9882534,-0.006924978,0.13945642,-0.06212227,0.98635495,-0.022138098,-0.16310854,-0.0030833252,0.9235014,-0.13043179,0.35729766,-0.049710244,0.92563033,-0.13022895,-0.35174555,0.050239228,0.92563033,-0.13022895,-0.35174555,0.050239228,0.97514534,0.106536955,-0.07772803,-0.17804429,0.3918268,-0.10666164,-0.89633805,-0.17796963,0.3918268,-0.10666164,-0.89633805,-0.17796963,0.9222127,-0.0027375706,-0.38666952,-0.001729104,0.92455935,-0.0007051078,0.38102445,-0.0031602085,0.8660322,-0.012450857,0.49323288,-0.08096118,0.9895136,-0.021067845,0.14267191,0.007985986,0.9519743,-0.022103038,0.30534798,0.0043687248,0.93014157,-0.0357688,0.364671,-0.023926487
0.9976442,0.024486661,0.058313906,0.026572585,0.9886146,5.538913e-05,0.12678133,-0.08104159,0.98790956,-0.021911379,-0.1529839,-0.012271631,0.91243833,-0.12361646,0.3805211,-0.085900925,0.92996305,-0.14918344,-0.3354234,0.02010724,0.92996305,-0.14918344,-0.3354234,0.02010724,0.9686805,0.11636607,-0.087667435,-0.20107596,0.36004496,-0.12667921,-0.90354586,-0.19474337,0.36004496,-0.12667921,-0.90354586,-0.19474337,0.9240022,0.0015118548,-0.3817918,0.021275688,0.97239983,-0.011247115,0.23234376,0.018122997,0.9393805,-0.010515337,0.33997822,-0.04322662,0.96416,-0.01613478,0.26462647,-0.010397936,0.9640953,-0.01613224,0.26486182,-0.010401875,0.8528793,-0.019377055,0.52076125,0.03208148
0.9976442,0.024486661,0.058313906,0.026572585,0.9886146,5.538913e-05,0.12678133,-0.08104159,0.98790956,-0.021911379,-0.1529839,-0.012271631,0.91243833,-0.12361646,0.3805211,-0.085900925,0.92996305,-0.14918344,-0.3354234,0.02010724,0.92996305,-0.14918344,-0.3354234,0.02010724,0.9686805,0.11636607,-0.087667435,-0.20107596,0.36004496,-0.12667921,-0.90354586,-0.19474337,0.36004496,-0.12667921,-0.90354586,-0.19474337,0.9240022,0.0015118548,-0.3817918,0.021275688,0.97239983,-0.011247115,0.23234376,0.018122997,0.9393805,-0.010515337,0.33997822,-0.04322662,0.96416,-0.01613478,0.26462647,-0.010397936,0.9640953,-0.01613224,0.26486182,-0.010401875,0.8528793,-0.019377055,0.52076125,0.03208148
0.9976658,0.02644202,0.062258657,0.009363502,0.98763627,0.005389466,0.12409185,-0.09563875,0.98866767,-0.019983944,-0.14775449,-0.017479623,0.90892977,-0.117598444,0.38613456,-0.104486346,0.9297751,-0.1572826,-0.33282354,0.0029958042,0.9297751,-0.1572826,-0.33282354,0.0029958042,0.9630949,0.12747428,-0.081233315,-0.22270976,0.35322985,-0.14333357,-0.89965516,-0.21284932,0.35322985,-0.14333357,-0.89965516,-0.21284932,0.935354,-0.003950256,-0.35065654,0.04623257,0.99552643,-0.023312958,0.0823051,0.040119335,0.98360354,-0.015214596,0.17964628,0.0044568134,0.95042604,-0.015909743,0.30955824,-0.024717182,0.95042604,-0.015909743,0.30955824,-0.024717182,0.83304405,-0.010674652,0.5496431,0.06177496
0.9976658,0.02644202,0.062258657,0.009363502,0.98763627,0.005389466,0.12409185,-0.09563875,0.98866767,-0.019983944,-0.14775449,-0.017479623,0.90892977,-0.117598444,0.38613456,-0.104486346,0.9297751,-0.1572826,-0.33282354,0.0029958042,0.9297751,-0.1572826,-0.33282354,0.0029958042,0.9630949,0.12747428,-0.081233315,-0.22270976,0.35322985,-0.14333357,-0.89965516,-0.21284932,0.35322985,-0.14333357,-0.89965516,-0.21284932,0.935354,-0.003950256,-0.35065654,0.04623257,0.99552643,-0.023312958,0.0823051,0.040119335,0.98360354,-0.015214596,0.17964628,0.0044568134,0.95042604,-0.015909743,0.30955824,-0.024717182,0.95042604,-0.015909743,0.30955824,-0.024717182,0.83304405,-0.010674652,0.5496431,0.06177496
