pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,torso_lin_vel_x,torso_lin_vel_y,torso_lin_vel_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,right_upper_arm_lin_vel_x,right_upper_arm_lin_vel_y,right_upper_arm_lin_vel_z,right_lower_arm_lin_vel_x,right_lower_arm_lin_vel_y,right_lower_arm_lin_vel_z,right_hand_lin_vel_x,right_hand_lin_vel_y,right_hand_lin_vel_z,left_upper_arm_lin_vel_x,left_upper_arm_lin_vel_y,left_upper_arm_lin_vel_z,left_lower_arm_lin_vel_x,left_lower_arm_lin_vel_y,left_lower_arm_lin_vel_z,left_hand_lin_vel_x,left_hand_lin_vel_y,left_hand_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
3.6837518,-0.03795362,0.15055111,3.6954186,-0.15611036,0.14000371,3.680485,-0.24080044,0.13966028,3.596745,-0.22345346,0.08976247,3.8175168,-0.2284944,-0.11096544,3.8781374,-0.31788778,-0.02041252,3.7652035,-0.25483388,0.18961035,3.4320726,-0.063493714,0.18492647,3.670521,-0.270444,-0.2797659,3.655815,-0.03557784,0.110738724,2.7621942,-0.02645241,-0.53888696,4.9797015,0.0046204044,-0.8451639,3.7116885,-0.040329378,0.1903635,3.682493,-0.117293246,0.20903182,2.3848162,-0.019111339,1.7014192
3.6545548,-0.042488895,-0.012253496,3.643726,-0.12459414,-0.01807577,3.6246376,-0.20495103,-0.018042939,3.5741334,-0.19770168,-0.074626975,3.9258628,-0.29139608,-0.36296046,4.038456,-0.32032716,-0.2437652,3.673546,-0.21710175,0.037828136,3.2494252,-0.009661106,0.03372672,3.6326535,-0.16201319,-0.60158265,3.6284518,-0.04028849,-0.03916179,2.7109282,-0.042228132,-0.6607851,4.275391,0.13410291,-0.7868874,3.6806576,-0.044689313,0.0146548,4.1751566,-0.15788135,-0.28626055,2.6846418,-0.06150376,1.6926365
3.623929,-0.04596311,-0.17509124,3.5826774,-0.051766686,-0.17268261,3.5367155,-0.124972396,-0.16621377,3.5146537,-0.12716755,-0.23235005,3.9952636,-0.30565253,-0.5909801,4.1714587,-0.26928493,-0.42766455,3.5493505,-0.13463636,-0.105532646,3.054121,0.08744031,-0.099953584,3.5478292,-0.0012239636,-0.89714324,3.5879145,-0.045154344,-0.17346941,2.694959,-0.02638233,-0.7323703,3.5071194,0.28643012,-0.77590436,3.6599438,-0.04677192,-0.17671306,4.5852227,-0.13969584,-0.7234828,3.0587828,-0.066937484,1.672029
3.591195,-0.047753725,-0.32326442,3.5092204,0.047489457,-0.31051937,3.4306717,-0.017104542,-0.2958652,3.4313662,-0.027044114,-0.37049112,4.03554,-0.28034794,-0.7767561,4.29966,-0.17316164,-0.53444743,3.41159,-0.024280943,-0.23250967,2.8582027,0.20947617,-0.20885327,3.4181798,0.19198632,-1.1504867,3.537884,-0.04869781,-0.28375986,2.7072277,0.014720123,-0.76271737,2.7432027,0.43040216,-0.7827197,3.6445065,-0.046809703,-0.36276898,4.869681,-0.052093495,-1.0355492,3.4856682,-0.04225821,1.6361176
3.551836,-0.048928566,-0.4492123,3.4237723,0.14426117,-0.42705324,3.33471,0.08609674,-0.40957513,3.353867,0.070412025,-0.4870331,4.074802,-0.24031977,-0.9176329,4.4532866,-0.060934722,-0.54684883,3.2935977,0.08069075,-0.3454819,2.681868,0.32077825,-0.2962633,3.2626045,0.38082266,-1.3581972,3.480877,-0.0508762,-0.3733976,2.7476451,0.06444197,-0.76414055,2.0552752,0.5328815,-0.7708166,3.6227946,-0.046980992,-0.52502704,5.0453367,0.092687495,-1.2136941,3.9384303,-0.0014122971,1.5663829
3.4992852,-0.051546596,-0.549389,3.3356636,0.21013309,-0.5223755,3.2747056,0.15370685,-0.51172334,3.3093872,0.13418345,-0.58417314,4.1391706,-0.20876665,-1.0185678,4.6444016,0.037410557,-0.46800816,3.2237508,0.14894257,-0.44812757,2.5398412,0.387359,-0.3655086,3.1009634,0.52959895,-1.520086,3.4166002,-0.05302768,-0.44881713,2.808386,0.106830485,-0.7489543,1.4954116,0.57615864,-0.7125373,3.5819702,-0.050065544,-0.6499608,5.168669,0.26640174,-1.28473,4.394294,0.042067822,1.4361489
3.4298048,-0.057082057,-0.6185978,3.2610824,0.2353514,-0.5936758,3.2605085,0.17696542,-0.59802634,3.3080828,0.15526412,-0.65899855,4.236335,-0.18869291,-1.0804194,4.8541884,0.11297402,-0.31201017,3.210125,0.17187928,-0.5358706,2.4320557,0.39704937,-0.41052943,2.9415855,0.6237735,-1.6300181,3.344926,-0.0567096,-0.50763404,2.857227,0.1331495,-0.7272197,1.0793856,0.56334895,-0.60104537,3.5146837,-0.0574545,-0.72956145,5.2894497,0.43715826,-1.2720705,4.8308215,0.082075074,1.2265003
3.347746,-0.06492391,-0.6476467,3.2138643,0.23350105,-0.6312922,3.284901,0.17356302,-0.6536431,3.3438761,0.15067607,-0.69989383,4.355943,-0.16171212,-1.0948153,5.044323,0.18195023,-0.09492423,3.2394245,0.16788247,-0.5943278,2.3480654,0.36323696,-0.41658163,2.783711,0.67426366,-1.6751673,3.271259,-0.062130693,-0.53544587,2.8413305,0.14005688,-0.70463896,0.78904337,0.50852245,-0.451289,3.4242322,-0.06771708,-0.75984746,5.4253626,0.57560766,-1.1780028,5.2181125,0.12009227,0.94024307
3.2665644,-0.072708815,-0.6258118,3.1978648,0.22319193,-0.621207,3.3304303,0.16757755,-0.65914565,3.403419,0.14313465,-0.6902019,4.479164,-0.110152334,-1.0473969,5.1773486,0.26400104,0.16823225,3.2849634,0.16197924,-0.60508853,2.2791343,0.30668834,-0.36880895,2.628178,0.6987333,-1.6408547,3.2079473,-0.06803614,-0.51526934,2.7180688,0.12781659,-0.67947227,0.59126854,0.42462084,-0.28857812,3.3251812,-0.07738145,-0.7363543,5.5696015,0.6525224,-0.9898749,5.525041,0.1561173,0.60035694
3.2036893,-0.07836709,-0.5467155,3.207462,0.20650187,-0.55285436,3.3772523,0.16598272,-0.5999741,3.4731283,0.13796228,-0.6168768,4.5864587,-0.039437633,-0.9268349,5.229777,0.3582567,0.4605518,3.3170402,0.16191718,-0.5546111,2.2256973,0.23539934,-0.26185015,2.4838169,0.70014733,-1.5171618,3.1686606,-0.07312486,-0.44065693,2.4876115,0.10185162,-0.64039713,0.45876488,0.32086086,-0.13214782,3.2387183,-0.08360929,-0.65277404,5.7080746,0.63966644,-0.69792277,5.7358847,0.18081734,0.23525755
3.1723065,-0.081600495,-0.41454318,3.2344058,0.17299666,-0.427819,3.4105422,0.16043282,-0.47539687,3.542567,0.12596942,-0.4800218,4.6618032,0.028012138,-0.7351996,5.195895,0.4471981,0.7584848,3.3146951,0.15940839,-0.4423928,2.1947975,0.14734468,-0.10516654,2.3648758,0.6699301,-1.3065027,3.1599975,-0.07701199,-0.31970817,2.1940172,0.07179138,-0.56906635,0.37872013,0.20802495,0.01429262,3.1846154,-0.08618902,-0.5093782,5.8217697,0.5242834,-0.3144094,5.8562284,0.18170784,-0.13304251
3.1763387,-0.08298779,-0.2454843,3.2746806,0.12236238,-0.26239327,3.427079,0.1482275,-0.30150214,3.606826,0.10540359,-0.29626274,4.6967206,0.07841937,-0.49211928,5.0875854,0.5209252,1.0316201,3.2766652,0.15081307,-0.28359717,2.193976,0.04895293,0.07906509,2.2854936,0.6091076,-1.0284272,3.1790721,-0.079424806,-0.168444,1.8963264,0.045632802,-0.44784552,0.349058,0.10075064,0.15992016,3.173605,-0.086550795,-0.3225246,5.8807564,0.32392734,0.11838104,5.905386,0.1569747,-0.48990846
3.212373,-0.081709854,-0.06148065,3.3302941,0.07123862,-0.08025938,3.4373791,0.13984095,-0.10443108,3.6680362,0.08937868,-0.091350205,4.6941156,0.11599362,-0.22733124,4.9319153,0.58632237,1.250524,3.2242792,0.14507186,-0.102976896,2.2300694,-0.040659364,0.26513848,2.257888,0.5351348,-0.7157965,3.2206118,-0.07879015,-0.0031084744,1.6420976,0.02476676,-0.2686533,0.37256828,0.0102865705,0.31639153,3.2041337,-0.08462958,-0.119852826,5.8528385,0.07960029,0.5411163,5.911537,0.11818613,-0.8243136
3.2751122,-0.075191095,0.1182999,3.4056642,0.03602164,0.09799087,3.4593828,0.14469376,0.090836175,3.7328618,0.090325564,0.11153377,4.666833,0.14725219,0.03191993,4.7631984,0.6520776,1.3968161,3.19048,0.15036482,0.075227514,2.3097084,-0.10602023,0.43346515,2.2912886,0.46597388,-0.40400147,3.2849433,-0.0726759,0.16170678,1.4612212,0.004477353,-0.03796409,0.45401335,-0.064345516,0.48784485,3.265281,-0.07770631,0.07489303,5.7250752,-0.16665342,0.90055496,5.9127812,0.07936031,-1.1268263
