pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,torso_ang_vel_x,torso_ang_vel_y,torso_ang_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,right_upper_arm_ang_vel_x,right_upper_arm_ang_vel_y,right_upper_arm_ang_vel_z,right_lower_arm_ang_vel_x,right_lower_arm_ang_vel_y,right_lower_arm_ang_vel_z,right_hand_ang_vel_x,right_hand_ang_vel_y,right_hand_ang_vel_z,left_upper_arm_ang_vel_x,left_upper_arm_ang_vel_y,left_upper_arm_ang_vel_z,left_lower_arm_ang_vel_x,left_lower_arm_ang_vel_y,left_lower_arm_ang_vel_z,left_hand_ang_vel_x,left_hand_ang_vel_y,left_hand_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.18809788,-0.07518386,-0.34011462,0.3101591,-0.12095054,-0.18553743,0.19780116,0.24121362,-0.24636231,-0.28379834,-1.9207532,0.5061583,-0.13139378,-0.7298899,0.13072568,-0.13139378,-0.7298899,0.13072568,0.8542507,1.7496707,-0.0067628967,1.5131615,2.9667325,0.39615232,1.5131471,2.966701,0.39614567,0.050880384,2.6073177,-0.3894176,0.7927744,-2.9537373,-0.037539892,0.99068487,-3.5477252,-1.6643282,-0.2622607,-2.0605464,0.25910032,0.16790812,6.7512245,-0.4138116,-1.4245083,7.40772,-1.6682014
-0.23645267,-0.21263233,-0.526279,0.31055292,-0.2976227,-0.018725194,0.15833718,0.40077868,-0.2634527,-0.3187814,-2.3712902,0.95433635,-0.1467207,-1.0164585,0.52763486,-0.1467207,-1.0164585,0.52763486,0.8752257,1.90707,0.2872978,1.749434,3.5253413,0.81900567,1.7494173,3.5253055,0.81899685,0.59110355,2.446246,-1.1249216,1.1272516,-1.0268397,-0.85637593,1.2640885,-1.7201805,-1.7852045,0.079277866,-3.0352924,0.6247875,0.52630085,7.463791,-0.12761986,-1.0420223,8.1528635,-1.3503404
-0.71820796,-0.39665195,-0.7612578,0.30247146,-0.43663302,0.114615485,0.13822424,0.5805985,-0.22061735,-0.35855773,-2.7563612,1.3540689,-0.19836673,-1.5049087,0.9607073,-0.19836673,-1.5049087,0.9607073,0.9036491,2.0409908,0.5487218,1.9344615,3.9507766,1.1714978,1.9344447,3.9507408,1.1714878,1.0181613,2.199345,-1.6412252,1.3476205,0.86295307,-1.4418705,1.333961,-0.15870006,-1.1199743,0.5405746,-3.5916672,0.9332263,0.9136244,7.6584954,0.22337982,-0.3044498,8.261519,-0.73130375
-1.1104378,-0.5895511,-0.9557506,0.30390716,-0.4082438,0.20915847,0.12510385,0.70330256,-0.11563567,-0.40338904,-3.0900276,1.6532723,-0.2850891,-2.2241373,1.3829851,-0.2850891,-2.2241373,1.3829851,0.9326392,2.209665,0.7826204,2.0369039,4.260887,1.445474,2.0368888,4.260855,1.445464,1.2325277,1.8655281,-1.809959,1.4047755,2.5611196,-1.6372184,1.1754584,0.92306966,-0.11804815,1.0368408,-3.91833,1.1388658,1.2626597,7.42054,0.5823096,0.51750535,7.717797,-0.015085233
-1.317957,-0.70224226,-1.047416,0.3205966,-0.18827693,0.26567575,0.092510484,0.69253385,0.037682004,-0.4417594,-3.389571,1.8068361,-0.38345098,-3.1217313,1.7279066,-0.38345098,-3.1217313,1.7279066,0.9545523,2.4595747,1.0048712,2.038398,4.483458,1.651364,2.038386,4.483433,1.6513553,1.228675,1.4825462,-1.6246641,1.312908,3.936644,-1.431586,0.86523825,1.4800106,0.51371115,1.4859756,-4.242761,1.2173233,1.5240828,6.844302,0.89146835,1.0974951,6.5906463,0.61937875
-1.3604621,-0.65199023,-1.0104394,0.34262702,0.14100179,0.29443997,0.026714986,0.5237355,0.21712528,-0.4504656,-3.6598601,1.8007454,-0.4552623,-4.0834765,1.944062,-0.4552623,-4.0834765,1.944062,0.95676297,2.805774,1.2332642,1.9346563,4.647317,1.8122805,1.934648,4.6472993,1.8122742,1.0769905,1.1746974,-1.2104372,1.1308601,4.887004,-0.9725491,0.5182764,1.6498454,0.39778364,1.8315775,-4.68118,1.1635224,1.6751838,5.965495,1.1054045,1.2249736,4.991916,1.0739602
-1.3341922,-0.43071634,-0.8475004,0.3533663,0.46605384,0.32208982,-0.055063974,0.25492567,0.38953254,-0.4058122,-3.8882585,1.6650486,-0.46615773,-4.9769406,2.0228329,-0.46615773,-4.9769406,2.0228329,0.92093164,3.213355,1.477226,1.7362701,4.7691517,1.9548064,1.7362652,4.769141,1.9548026,0.8681384,1.1162163,-0.7555026,0.9212377,5.352329,-0.484747,0.21782349,1.6586623,-0.20693026,2.03287,-5.2177677,0.98561203,1.7057887,4.7828245,1.1886598,0.9186188,3.0765789,1.3228145
-1.29124,-0.11702209,-0.5875718,0.33790058,0.69927675,0.3908543,-0.11337902,0.0029690238,0.5117015,-0.29927182,-4.0467443,1.4659704,-0.40332115,-5.684806,2.0000813,-0.40332115,-5.684806,2.0000813,0.8331065,3.5874047,1.7269253,1.4715418,4.832075,2.0941122,1.4715395,4.83207,2.0941103,0.6649522,1.4112577,-0.38700083,0.7205512,5.3514876,-0.12429162,-0.0067284238,1.6963894,-0.7416275,2.0454636,-5.7741776,0.70533556,1.5984105,3.2920437,1.1173544,0.38998204,0.9951694,1.3693072
-1.1906385,0.17735174,-0.29455686,0.28808376,0.7905916,0.5419925,-0.11570941,-0.11923818,0.5493377,-0.14584482,-4.1001835,1.2807242,-0.2815206,-6.125752,1.9356155,-0.2815206,-6.125752,1.9356155,0.69542605,3.804754,1.9545457,1.1810472,4.7847366,2.225505,1.1810462,4.7847342,2.2255044,0.4908126,2.0127144,-0.107153535,0.5389439,4.989554,0.09936965,-0.15106572,1.8531152,-0.87390023,1.8358276,-6.267117,0.35864988,1.339798,1.5152512,0.8876661,-0.07870325,-1.1478747,1.219792
-0.9934916,0.37868705,-0.06014481,0.20632128,0.72519714,0.7876323,-0.06233356,-0.06299937,0.5059342,0.021119904,-4.0178633,1.1686558,-0.13484058,-6.2648525,1.8855815,-0.13484058,-6.2648525,1.8855815,0.52609766,3.7853143,2.1311545,0.899642,4.576121,2.3310077,0.8996417,4.5761204,2.3310075,0.349895,2.7610471,0.14109525,0.38026646,4.41352,0.25552678,-0.198435,2.1505742,-0.6336145,1.4286337,-6.6079235,-0.011226919,0.9627912,-0.45468888,0.52298063,-0.24782352,-3.252353,0.8956281
-0.749725,0.48455185,0.048429333,0.10450445,0.52817214,1.0936198,0.013650519,0.13263431,0.43052572,0.16128202,-3.7873569,1.1571718,-0.0034512966,-6.112575,1.8851746,-0.0034512966,-6.112575,1.8851746,0.35048687,3.5438194,2.244084,0.6441185,4.1992893,2.3943975,0.6441184,4.199289,2.3943977,0.24453749,3.495046,0.381788,0.25360408,3.7491653,0.38758978,-0.116422266,2.6061811,-0.19757107,0.91803277,-6.7013764,-0.37304774,0.5532912,-2.4509723,0.0643068,-0.009861554,-5.17755,0.4485441
