pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,torso_lin_vel_x,torso_lin_vel_y,torso_lin_vel_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,right_upper_arm_lin_vel_x,right_upper_arm_lin_vel_y,right_upper_arm_lin_vel_z,right_lower_arm_lin_vel_x,right_lower_arm_lin_vel_y,right_lower_arm_lin_vel_z,right_hand_lin_vel_x,right_hand_lin_vel_y,right_hand_lin_vel_z,left_upper_arm_lin_vel_x,left_upper_arm_lin_vel_y,left_upper_arm_lin_vel_z,left_lower_arm_lin_vel_x,left_lower_arm_lin_vel_y,left_lower_arm_lin_vel_z,left_hand_lin_vel_x,left_hand_lin_vel_y,left_hand_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
1.7080063,0.1716908,0.092619635,1.6374829,-0.03745023,0.106809504,1.6028571,0.060913626,0.10766554,1.574776,0.07139681,0.18835244,0.9896076,0.057630844,0.0024707634,0.8551199,-0.123048164,-0.41525313,1.6241069,0.074909225,0.021442968,1.9515938,0.12688808,-0.16399828,2.1908038,0.12330569,-0.2617823,1.7211608,0.16629362,0.012006318,2.6441822,0.069443844,-0.18987836,1.7316585,-0.059735056,0.88390434,1.6948515,0.17708807,0.17323294,1.5503048,0.06890523,0.09028313,0.24991979,-0.12289353,-0.004513941
1.6565619,0.17746294,0.12912649,1.5685117,-0.022115326,0.14266555,1.5543299,0.05496864,0.14258134,1.4929885,0.06562136,0.20737365,0.8588999,0.10889402,0.015859924,0.66047686,-0.07317778,-0.52773225,1.6118704,0.07401966,0.07594738,2.004871,0.15684773,-0.13197541,2.3527982,0.19897255,-0.26018184,1.66091,0.17453235,0.05222603,2.8160605,0.074602,-0.161676,2.0031822,0.0059798607,0.87926525,1.6522135,0.18039364,0.20602694,1.3271393,0.057546783,0.022354944,0.13023415,-0.14040586,-0.009168052
1.607135,0.18331759,0.1658647,1.5089588,0.001246844,0.1779959,1.5102404,0.04829916,0.17751136,1.4184273,0.05827965,0.21891667,0.7573733,0.1573739,0.033631366,0.48229423,-0.019591536,-0.6259383,1.6005309,0.07085928,0.13683058,2.0639536,0.18092272,-0.0890565,2.5190198,0.2688383,-0.23814154,1.6022328,0.18280882,0.09595394,2.927888,0.08096841,-0.09296116,2.2607064,0.08499928,0.8289187,1.6120375,0.18382649,0.23577549,1.1115766,0.034970302,-0.037354175,0.0369778,-0.14693145,-0.017080186
1.5639374,0.18586819,0.19661488,1.4651564,0.028788215,0.20685141,1.4724089,0.04091156,0.20654678,1.3570743,0.049599506,0.21995795,0.68600976,0.19702157,0.050311297,0.31972548,0.030320866,-0.7132022,1.5870451,0.064701624,0.19450235,2.128526,0.1968887,-0.04515679,2.694857,0.3250062,-0.20566903,1.5517689,0.18722774,0.13658892,2.9966872,0.08787434,0.0028532874,2.5075607,0.16364564,0.7232985,1.5761061,0.1845087,0.25664085,0.92185175,0.009446127,-0.083424024,-0.028680846,-0.14094844,-0.024320748
1.5280933,0.18251045,0.21507883,1.4380722,0.0568836,0.22320685,1.4415164,0.03468058,0.22347036,1.3113116,0.04190668,0.20869288,0.6418462,0.22676563,0.06126253,0.16906695,0.07229477,-0.7904867,1.5703597,0.057500374,0.2383888,2.196469,0.20641571,-0.008613459,2.8794389,0.3659539,-0.16882439,1.5128345,0.18482533,0.16719002,3.03904,0.09738929,0.10944308,2.746998,0.2281003,0.5611264,1.5433521,0.18019554,0.26296765,0.77029335,-0.011388472,-0.11481815,-0.066630095,-0.12402859,-0.02879024
1.4994708,0.1725634,0.21878351,1.4243082,0.08058493,0.22487994,1.4180142,0.030474551,0.22576419,1.2811878,0.036605354,0.187524,0.6203189,0.24788578,0.06624475,0.025594221,0.10404195,-0.8537825,1.5519632,0.050837766,0.26190922,2.2674503,0.21247432,0.016592091,3.073004,0.39105108,-0.12842485,1.4860626,0.17485477,0.18352279,3.0618675,0.11154713,0.21351297,2.976403,0.2709474,0.35232553,1.5128791,0.17027192,0.25404423,0.66211396,-0.022640433,-0.13171889,-0.07832304,-0.1013532,-0.027851764
1.4780346,0.1575449,0.20904794,1.4180193,0.09463186,0.21348566,1.4018806,0.026713613,0.21472909,1.2652936,0.032447856,0.16111408,0.61587334,0.26051983,0.06791712,-0.11637189,0.12387309,-0.8972348,1.534182,0.04397874,0.26420552,2.3411787,0.21709752,0.03175016,3.2775784,0.39733097,-0.08018404,1.4705797,0.15906025,0.18432315,3.0619116,0.12948766,0.30567312,3.1865773,0.29343376,0.11659368,1.4854897,0.1560295,0.23377275,0.5928074,-0.022368798,-0.13619049,-0.07129904,-0.07968954,-0.020079924
1.4640334,0.14034703,0.18800925,1.4141116,0.09594678,0.1913141,1.3925378,0.01999968,0.19251816,1.2615116,0.02593864,0.13169621,0.6225991,0.2620456,0.067316815,-0.26160035,0.12902953,-0.91754496,1.5187082,0.03407751,0.24823102,2.4139807,0.22009292,0.041524958,3.4910414,0.3797143,-0.016837444,1.465023,0.14069425,0.16953999,3.03286,0.14759323,0.3785133,3.3679187,0.3026656,-0.122572,1.4630436,0.13999991,0.20647852,0.54910475,-0.011335039,-0.13397478,-0.0597172,-0.06351202,-0.007948852
1.4573575,0.12374546,0.15680751,1.4109395,0.08483907,0.15935399,1.389192,0.007346584,0.1601964,1.2677306,0.013654864,0.09775269,0.6362638,0.24917829,0.062362697,-0.40858725,0.11558955,-0.9132883,1.5061551,0.018342087,0.21772717,2.4779577,0.21875855,0.05044174,3.699638,0.33389622,0.06813051,1.4674779,0.12290419,0.13956578,2.9732058,0.1622503,0.42635962,3.519292,0.30692992,-0.3459942,1.4472371,0.124586895,0.17404923,0.5173965,0.0072237644,-0.13246,-0.056212574,-0.05337124,0.0036655017
1.456902,0.10914707,0.116956145,1.4104861,0.064287044,0.118706435,1.3911549,-0.0116030015,0.1190548,1.2823064,-0.005217491,0.057665676,0.6555288,0.22191711,0.051264975,-0.54625857,0.08118947,-0.8804778,1.4962672,-0.0035613072,0.17626144,2.523926,0.20935713,0.060952414,3.877121,0.26044425,0.17766796,1.4750957,0.10741433,0.09681221,2.8887591,0.17239639,0.4475855,3.6519897,0.31181434,-0.54335386,1.4387083,0.11087999,0.13710007,0.49271494,0.028700178,-0.13540795,-0.062409274,-0.04768199,0.0123117035
