pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,torso_ang_vel_x,torso_ang_vel_y,torso_ang_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,right_upper_arm_ang_vel_x,right_upper_arm_ang_vel_y,right_upper_arm_ang_vel_z,right_lower_arm_ang_vel_x,right_lower_arm_ang_vel_y,right_lower_arm_ang_vel_z,right_hand_ang_vel_x,right_hand_ang_vel_y,right_hand_ang_vel_z,left_upper_arm_ang_vel_x,left_upper_arm_ang_vel_y,left_upper_arm_ang_vel_z,left_lower_arm_ang_vel_x,left_lower_arm_ang_vel_y,left_lower_arm_ang_vel_z,left_hand_ang_vel_x,left_hand_ang_vel_y,left_hand_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.90174246,-0.33700526,0.1148943,-0.4086556,-0.11513232,-0.2326059,-0.017902417,-0.38627276,-0.17220195,0.35490355,2.181623,-0.95519996,0.38580137,1.9880235,-0.8833004,0.38579926,1.988014,-0.88326854,0.0463597,-1.4903114,-0.41005096,-0.07001006,-1.2044982,-0.32591972,-0.07001006,-1.2044982,-0.32591972,-0.013538164,-2.5584922,0.69725126,0.14090131,3.401976,0.52308375,-3.0437605,5.7759295,-1.6372737,-0.76719093,0.6361137,0.69580704,-0.57115036,3.0439792,0.8359004,-0.5524856,3.2207918,-0.4808689
0.8265567,-0.40039787,-0.0010458316,-0.29676205,-0.031028297,-0.422134,-0.12151845,-0.4040236,-0.120570794,0.53294986,2.312055,-0.9184489,0.51908255,2.5219088,-0.9487728,0.51908165,2.5219047,-0.9487595,0.14977345,-1.7385147,-0.4487991,0.10211819,-1.6220415,-0.41214356,0.10211819,-1.6220415,-0.41214356,-0.10717156,-3.0326777,0.37219837,0.02267612,3.0685632,0.19190978,-2.9528327,4.180231,-1.6644244,-0.652942,1.1288731,0.40845832,-0.5345676,2.7650263,0.49339223,-0.5551728,2.2832367,-0.54702103
0.7214597,-0.42414436,-0.110405006,-0.15117973,0.016889315,-0.57842577,-0.17399237,-0.37275657,-0.06675231,0.6843126,2.3716512,-0.8579158,0.6234858,3.0414739,-0.99401194,0.6234855,3.0414724,-0.9940076,0.27581444,-2.011,-0.4199787,0.2910726,-2.048372,-0.4235385,0.2910726,-2.048372,-0.4235385,-0.17544085,-3.3621554,0.068497226,-0.060465712,2.5072172,-0.11126218,-2.5394282,2.1733413,-1.4583049,-0.52743703,1.571013,0.06600497,-0.47023812,2.4671552,0.11233009,-0.513449,1.4923023,-0.55471516
0.5892568,-0.40446177,-0.18020959,0.0069820276,0.017923532,-0.68336916,-0.15888561,-0.25961968,-0.03315388,0.7940178,2.381775,-0.7899663,0.6867265,3.5459366,-1.0257907,0.68672645,3.5459363,-1.0257896,0.38762826,-2.3031232,-0.38478908,0.46262446,-2.4870129,-0.4233089,0.46262446,-2.4870129,-0.4233089,-0.20191453,-3.5880132,-0.16497083,-0.09079467,1.7580996,-0.33715236,-1.7820109,0.076887436,-1.0078924,-0.4085025,1.9198035,-0.25558576,-0.3967788,2.183497,-0.23210154,-0.45043337,0.89704114,-0.5275677
0.441988,-0.3490353,-0.18902259,0.15049848,-0.018107472,-0.735876,-0.09461262,-0.0755624,-0.03602876,0.86220527,2.3579462,-0.74087554,0.7118566,4.0296984,-1.0625323,0.7118566,4.0296984,-1.0625321,0.46956557,-2.6000268,-0.41458842,0.6016953,-2.927483,-0.48375577,0.6016953,-2.927483,-0.48375577,-0.17592172,-3.7415736,-0.29387543,-0.063702784,0.8757793,-0.4503925,-0.81659037,-1.8585588,-0.408458,-0.30646086,2.149497,-0.4971206,-0.3276801,1.9339126,-0.4842284,-0.3865077,0.48360604,-0.48421872
0.30548623,-0.28001732,-0.13913713,0.25474292,-0.066220276,-0.74531555,-0.026324142,0.12649715,-0.08143757,0.89720696,2.3128529,-0.73262113,0.7101626,4.491631,-1.1218276,0.7101626,4.491631,-1.1218276,0.51370126,-2.8816485,-0.6354408,0.6995034,-3.3575346,-0.73161656,0.6995034,-3.3575346,-0.73161656,-0.103123404,-3.8286507,-0.32267714,0.006063867,-0.077336185,-0.45520315,0.08627738,-3.4834466,0.15881257,-0.22827607,2.2640233,-0.61785644,-0.27328482,1.729229,-0.60745937,-0.33874607,0.21927664,-0.41927677
0.2083794,-0.22551,-0.048806667,0.31096068,-0.100170344,-0.7236163,0.012248122,0.29385394,-0.1575751,0.90347224,2.2613676,-0.7726383,0.6892757,4.937743,-1.2101152,0.6892757,4.937743,-1.2101152,0.51790476,-3.117303,-1.2105057,0.75415814,-3.7681696,-1.3329563,0.75415814,-3.7681696,-1.3329563,-0.0045636375,-3.836853,-0.29129112,0.09053788,-1.0317894,-0.3936342,0.6982379,-4.734727,0.53853935,-0.17662773,2.3007145,-0.60367376,-0.23937897,1.5744914,-0.59105074,-0.3197681,0.083092436,-0.33160138
0.1676595,-0.20256452,0.06059411,0.32988346,-0.10730318,-0.6803484,0.022761466,0.410591,-0.24119338,0.8753602,2.2177858,-0.8670058,0.6479863,5.3693666,-1.3344121,0.6479863,5.3693666,-1.3344121,0.4955871,-3.2722979,-2.2151525,0.77779245,-4.154841,-2.3683617,0.77779245,-4.154841,-2.3683617,0.09614168,-3.7568672,-0.2477391,0.1638415,-1.9246751,-0.31851408,0.9779408,-5.6237636,0.69150746,-0.14658031,2.3119726,-0.4757478,-0.22325516,1.4711797,-0.4583218,-0.33367702,0.07187025,-0.2534385
0.18232192,-0.20591886,0.16669051,0.32928365,-0.09416001,-0.6209817,0.022151899,0.48988172,-0.32073802,0.8017286,2.1841714,-1.0424067,0.58155173,5.7598906,-1.5227373,0.58155173,5.7598906,-1.5227373,0.48173568,-3.3305357,-3.4776943,0.79594827,-4.513987,-3.6700914,0.79594827,-4.513987,-3.6700914,0.18481565,-3.5983274,-0.22271658,0.21315229,-2.723393,-0.26646087,1.0266119,-6.225833,0.67140657,-0.12770164,2.3306346,-0.27982336,-0.21472211,1.4154893,-0.25658375,-0.3729723,0.1795373,-0.22709242
0.23586866,-0.21284951,0.2507645,0.32051063,-0.079220496,-0.547442,0.01705489,0.54315245,-0.4020159,0.6729908,2.1521285,-1.3516247,0.48821327,6.0542355,-1.829218,0.48821327,6.0542355,-1.829218,0.5210891,-3.3113759,-4.5934277,0.83535194,-4.8412185,-4.833481,0.83535194,-4.8412185,-4.833481,0.25904718,-3.387612,-0.21906056,0.23845193,-3.437282,-0.24553108,0.9496175,-6.6490088,0.5462159,-0.10994743,2.3547828,-0.056934252,-0.20189479,1.3970544,-0.02807166,-0.4200024,0.37672275,-0.253577
