pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.17675877,-0.21585353,-0.6403725,-0.006204362,2.1335742,-0.4050986,0.7059061,-4.3490987,-0.10782658,1.002553,-4.7400584,-0.6882614,-0.60268056,-2.1573484,0.502763,0.6027356,6.3547397,-0.7216315,0.7611405,5.682284,-0.40951753
-0.041314594,-0.40471917,-0.62157184,0.4221446,2.189589,-1.0519522,0.96831095,-2.4379086,-0.81561846,1.1990597,-2.8067122,-1.5395813,-0.19388953,-3.127922,1.0827248,1.1366577,7.0264554,-0.31637084,1.209207,6.585444,-0.1286349
-0.36904493,-0.57885164,-0.62632537,0.7752206,2.1491055,-1.5320836,1.155038,-0.4889004,-1.352878,1.2713847,-1.0052419,-1.4812205,0.383396,-3.7851746,1.5805757,1.6634012,7.2657223,0.18022649,1.7313821,7.2549086,0.25061187
-0.717773,-0.7007027,-0.6249769,0.9745538,1.9356978,-1.724786,1.2312871,1.4014568,-1.5707521,1.1674533,0.36963752,-0.65078485,1.0227525,-4.2609286,1.9222145,2.1077442,7.1205425,0.6852859,2.2179773,7.4780035,0.7053639
-1.0105438,-0.7281616,-0.58388484,1.0115359,1.5343599,-1.5958239,1.2074233,3.1405404,-1.4230769,0.9408203,1.0980483,0.2993792,1.6323045,-4.695641,2.0777285,2.4304745,6.634467,1.1330546,2.4728646,7.20742,1.1861458
-1.2482572,-0.6329485,-0.4800906,0.934408,1.0756221,-1.2099228,1.1194768,4.5675535,-0.9878753,0.6788974,1.2326128,0.71447295,2.1549377,-5.1658077,2.0571978,2.6275494,5.8263125,1.4848361,2.3225496,6.506012,1.632673
-1.4728339,-0.42428523,-0.30425858,0.8036917,0.80006313,-0.7070385,0.9948704,5.4757137,-0.43770257,0.42542818,1.1127896,0.4462798,2.5382173,-5.670589,1.8867258,2.6934874,4.7042303,1.7089077,1.7671068,5.445334,1.9779477
-1.6455767,-0.15749094,-0.058170304,0.65398,0.8963365,-0.2403742,0.8374934,5.7579646,0.04281704,0.18787976,1.108284,-0.14878643,2.6970127,-6.158106,1.5952691,2.5844958,3.2817278,1.7688464,1.0199025,4.01956,2.140252
-1.6228865,0.09137152,0.22882521,0.4922977,1.3580403,0.0890819,0.64439243,5.5045443,0.3414849,-0.014414254,1.3542867,-0.6073949,2.5405157,-6.5521965,1.2176893,2.2429764,1.6074059,1.6381279,0.39529842,2.1895056,2.0433457
-1.311606,0.27124557,0.47654733,0.3275161,1.9848081,0.25764784,0.43370652,4.9279737,0.4460583,-0.1456378,1.7504061,-0.71140486,2.0658214,-6.756732,0.8030489,1.6832855,-0.17406808,1.3304716,0.122130394,0.062984586,1.6786003
-0.8067942,0.37528583,0.58212394,0.18668626,2.4967034,0.2993683,0.24771662,4.203072,0.4135474,-0.1876272,2.1103952,-0.5424752,1.4092876,-6.643455,0.41415104,1.0357195,-1.7754706,0.9160424,0.21210131,-1.9734575,1.1451405
-0.3220966,0.41428435,0.50722504,0.094978,2.6612384,0.26694557,0.12191127,3.4009736,0.31789815,-0.1591772,2.2602382,-0.3036233,0.7769384,-6.071273,0.113078475,0.4769873,-2.827513,0.5031948,0.47385195,-3.370153,0.6093361
-0.013025602,0.39015427,0.32333428,0.050937623,2.3918152,0.20296642,0.05778883,2.5451677,0.21330018,-0.10115314,2.0874615,-0.13097423,0.3205979,-4.988002,-0.062619016,0.11827462,-3.0698457,0.1902887,0.66039973,-3.7392893,0.21264823
0.10359705,0.3086131,0.14666194,0.03257322,1.7927475,0.13407259,0.030913902,1.6976517,0.12661548,-0.04934221,1.6161135,-0.0457689,0.07564356,-3.5550714,-0.118922114,-0.039764594,-2.5618336,0.018725825,0.6408781,-3.1442058,0.004578345
0.10092279,0.19933712,0.04216296,0.021384623,1.1039792,0.07573555,0.018110756,0.972347,0.065693416,-0.018281566,1.023773,-0.01407817,-0.012499372,-2.1291184,-0.099752985,-0.06821121,-1.6831974,-0.036729198,0.4611849,-2.0706131,-0.05594549
