pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
3.723791,-0.062314607,0.5739228,3.6482377,-0.06699241,0.57568514,3.4485135,0.2195872,0.39677817,6.402045,-0.15473185,-1.4530426,3.7993443,-0.057636805,0.57216054,1.8367425,0.10726871,1.3655308,1.7453173,0.27562523,1.4464478
3.7331061,-0.04569131,0.50551194,3.6601658,-0.04898094,0.49547607,3.2133207,0.14226101,0.11805439,6.283108,-0.15588847,-1.2969584,3.8060467,-0.042401683,0.51554775,2.2349718,0.08125237,1.2554853,1.8786765,0.2248072,1.5584145
3.7270238,-0.03643161,0.41469353,3.6684084,-0.03746591,0.38963178,3.013454,0.07298722,-0.14102328,6.007629,-0.13667417,-1.1213645,3.7856393,-0.035397295,0.43975526,2.6877086,0.027565682,1.0229243,2.0057173,0.14434823,1.6429197
3.7091818,-0.034762077,0.29632014,3.668454,-0.033618864,0.25892138,2.8610609,0.015038768,-0.36396176,5.5682693,-0.085877895,-0.9609054,3.7499094,-0.035905268,0.33371887,3.1737812,-0.045491125,0.6675499,2.1638489,0.05520578,1.6891474
3.6837518,-0.03795362,0.15055111,3.655815,-0.03557784,0.110738724,2.7621942,-0.02645241,-0.53888696,4.9797015,0.004620404,-0.8451639,3.7116885,-0.040329378,0.1903635,3.682493,-0.117293246,0.20903182,2.3848162,-0.019111339,1.7014192
3.6545548,-0.042488895,-0.012253496,3.6284518,-0.04028849,-0.03916179,2.7109282,-0.042228132,-0.6607851,4.275391,0.13410291,-0.7868874,3.6806576,-0.044689313,0.0146548,4.1751566,-0.15788135,-0.28626055,2.6846418,-0.06150376,1.6926365
3.623929,-0.04596311,-0.17509124,3.5879145,-0.045154344,-0.17346941,2.694959,-0.02638233,-0.7323703,3.5071194,0.28643012,-0.77590436,3.6599438,-0.04677192,-0.17671306,4.5852227,-0.13969584,-0.7234828,3.0587828,-0.066937484,1.672029
3.591195,-0.047753725,-0.32326442,3.537884,-0.04869781,-0.28375986,2.7072277,0.014720123,-0.76271737,2.7432027,0.43040216,-0.7827197,3.6445065,-0.046809703,-0.36276898,4.869681,-0.052093495,-1.0355492,3.4856682,-0.04225821,1.6361176
3.551836,-0.048928566,-0.4492123,3.480877,-0.0508762,-0.3733976,2.7476451,0.06444197,-0.76414055,2.0552752,0.5328815,-0.7708166,3.6227946,-0.046980992,-0.52502704,5.0453367,0.092687495,-1.2136941,3.9384303,-0.001412297,1.5663829
3.4992852,-0.051546596,-0.549389,3.4166002,-0.05302768,-0.44881713,2.808386,0.106830485,-0.7489543,1.4954116,0.57615864,-0.7125373,3.5819702,-0.050065544,-0.6499608,5.168669,0.26640174,-1.28473,4.394294,0.042067822,1.4361489
