pelvis_w,pelvis_x,pelvis_y,pelvis_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.9982698,0.030728009,0.029739168,0.040358435,0.9492147,-0.041078176,-0.30854693,-0.04585758,0.7776995,0.01590159,0.62561435,-0.059476666,0.6416036,0.012840673,0.75977045,-0.104541644,0.99830234,-0.036368262,-0.045028113,0.00650335,0.95790935,-0.03649073,0.28468382,-0.005776753,0.99012,-0.04044604,0.13406602,0.007264881
0.9982698,0.030728009,0.029739168,0.040358435,0.9492147,-0.041078176,-0.30854693,-0.04585758,0.7776995,0.01590159,0.62561435,-0.059476666,0.6416036,0.012840673,0.75977045,-0.104541644,0.99830234,-0.036368262,-0.045028113,0.00650335,0.95790935,-0.03649073,0.28468382,-0.005776753,0.99012,-0.04044604,0.13406602,0.007264881
0.99710065,0.030385703,0.04145053,0.056115583,0.93077165,-0.019717362,-0.36397687,-0.02821666,0.8577548,0.010231138,0.51290524,-0.032867588,0.7798772,-0.000819629,0.6196995,-0.08811077,0.9982598,-0.029631192,0.049852215,0.010682199,0.9527421,-0.031373776,0.30214307,0.002793436,0.9733669,-0.040104523,0.22565049,-0.00550161
0.99710065,0.030385703,0.04145053,0.056115583,0.93077165,-0.019717362,-0.36397687,-0.02821666,0.8577548,0.010231138,0.51290524,-0.032867588,0.7798772,-0.000819629,0.6196995,-0.08811077,0.9982598,-0.029631192,0.049852215,0.010682199,0.9527421,-0.031373776,0.30214307,0.002793436,0.9733669,-0.040104523,0.22565049,-0.00550161
0.9968829,0.028616339,0.052018613,0.05195822,0.9222127,-0.002737571,-0.38666952,-0.001729104,0.92455935,-0.000705108,0.38102445,-0.003160209,0.8660322,-0.012450857,0.49323288,-0.08096118,0.9895136,-0.021067845,0.14267191,0.007985986,0.9519743,-0.022103038,0.30534798,0.004368725,0.93014157,-0.0357688,0.364671,-0.023926487
0.9968829,0.028616339,0.052018613,0.05195822,0.9222127,-0.002737571,-0.38666952,-0.001729104,0.92455935,-0.000705108,0.38102445,-0.003160209,0.8660322,-0.012450857,0.49323288,-0.08096118,0.9895136,-0.021067845,0.14267191,0.007985986,0.9519743,-0.022103038,0.30534798,0.004368725,0.93014157,-0.0357688,0.364671,-0.023926487
0.9976442,0.024486661,0.058313906,0.026572585,0.9240022,0.001511855,-0.3817918,0.021275688,0.97239983,-0.011247115,0.23234376,0.018122997,0.9393805,-0.010515337,0.33997822,-0.04322662,0.96416,-0.01613478,0.26462647,-0.010397936,0.9640953,-0.01613224,0.26486182,-0.010401875,0.8528793,-0.019377055,0.52076125,0.03208148
0.9976442,0.024486661,0.058313906,0.026572585,0.9240022,0.001511855,-0.3817918,0.021275688,0.97239983,-0.011247115,0.23234376,0.018122997,0.9393805,-0.010515337,0.33997822,-0.04322662,0.96416,-0.01613478,0.26462647,-0.010397936,0.9640953,-0.01613224,0.26486182,-0.010401875,0.8528793,-0.019377055,0.52076125,0.03208148
0.9976658,0.02644202,0.062258657,0.009363502,0.935354,-0.003950256,-0.35065654,0.04623257,0.99552643,-0.023312958,0.0823051,0.040119335,0.98360354,-0.015214596,0.17964628,0.004456813,0.95042604,-0.015909743,0.30955824,-0.024717182,0.95042604,-0.015909743,0.30955824,-0.024717182,0.83304405,-0.010674652,0.5496431,0.06177496
0.9976658,0.02644202,0.062258657,0.009363502,0.935354,-0.003950256,-0.35065654,0.04623257,0.99552643,-0.023312958,0.0823051,0.040119335,0.98360354,-0.015214596,0.17964628,0.004456813,0.95042604,-0.015909743,0.30955824,-0.024717182,0.95042604,-0.015909743,0.30955824,-0.024717182,0.83304405,-0.010674652,0.5496431,0.06177496
