pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-0.5128162,0.050777026,0.8701749,-0.5116245,-0.033797182,0.8629925,-0.27194244,-0.021955568,0.5164188,-0.23906723,-0.048762985,0.10874984,-0.51400787,0.13535124,0.87735724,-0.79019153,0.12835835,0.5589633,-1.0587255,0.12155915,0.24938825
-0.5128162,0.050777026,0.8701749,-0.5116245,-0.033797182,0.8629925,-0.27194244,-0.021955568,0.5164188,-0.23906723,-0.048762985,0.10874984,-0.51400787,0.13535124,0.87735724,-0.79019153,0.12835835,0.5589633,-1.0587255,0.12155915,0.24938825
-0.39177203,0.049162727,0.8644572,-0.39018098,-0.035185564,0.8550425,-0.18090498,-0.02915885,0.48916233,-0.10352602,-0.04548872,0.08699411,-0.3933631,0.13351102,0.87387186,-0.6212744,0.11487791,0.51973873,-0.9705118,0.116008274,0.3052034
-0.39177203,0.049162727,0.8644572,-0.39018098,-0.035185564,0.8550425,-0.18090498,-0.02915885,0.48916233,-0.10352602,-0.04548872,0.08699411,-0.3933631,0.13351102,0.87387186,-0.6212744,0.11487791,0.51973873,-0.9705118,0.116008274,0.3052034
-0.27240428,0.047311373,0.85025585,-0.27367792,-0.03729573,0.8434867,-0.09387544,-0.025010107,0.46240783,-0.0358789,-0.020881664,0.056682795,-0.27113065,0.13191848,0.85702497,-0.45114487,0.11150046,0.47639516,-0.8442435,0.114657186,0.36039126
-0.27240428,0.047311373,0.85025585,-0.27367792,-0.03729573,0.8434867,-0.09387544,-0.025010107,0.46240783,-0.0358789,-0.020881664,0.056682795,-0.27113065,0.13191848,0.85702497,-0.45114487,0.11150046,0.47639516,-0.8442435,0.114657186,0.36039126
-0.1542613,0.046289723,0.8285926,-0.15909378,-0.038458418,0.82814187,-0.001290873,-0.020968199,0.4376378,-0.006598155,0.000837702,0.02838263,-0.14942883,0.13103786,0.8290433,-0.28325027,0.12635617,0.4293297,-0.6928363,0.11914873,0.4158842
-0.1542613,0.046289723,0.8285926,-0.15909378,-0.038458418,0.82814187,-0.001290873,-0.020968199,0.4376378,-0.006598155,0.000837702,0.02838263,-0.14942883,0.13103786,0.8290433,-0.28325027,0.12635617,0.4293297,-0.6928363,0.11914873,0.4158842
-0.044607535,0.043540902,0.8027978,-0.052567475,-0.040970422,0.8033241,0.11055998,-0.013367947,0.41560182,0.01388327,0.017609647,0.01850304,-0.036647595,0.12805223,0.8022715,-0.096031986,0.14959812,0.3854858,-0.5009117,0.12015098,0.44204283
-0.044607535,0.043540902,0.8027978,-0.052567475,-0.040970422,0.8033241,0.11055998,-0.013367947,0.41560182,0.01388327,0.017609647,0.01850304,-0.036647595,0.12805223,0.8022715,-0.096031986,0.14959812,0.3854858,-0.5009117,0.12015098,0.44204283
0.057228744,0.040594533,0.78121907,0.04846035,-0.043512277,0.78863275,0.186562,-0.011819549,0.3916131,0.023468256,0.028543454,0.017761886,0.06599714,0.12470134,0.7738054,0.09313319,0.18427522,0.3573733,-0.30422938,0.13304052,0.44381073
0.057228744,0.040594533,0.78121907,0.04846035,-0.043512277,0.78863275,0.186562,-0.011819549,0.3916131,0.023468256,0.028543454,0.017761886,0.06599714,0.12470134,0.7738054,0.09313319,0.18427522,0.3573733,-0.30422938,0.13304052,0.44381073
0.1626436,0.03830855,0.7778795,0.15658534,-0.046051014,0.7851296,0.24137312,-0.011188455,0.3736728,0.032169834,0.025212962,0.023098439,0.16870186,0.12266812,0.77062935,0.3030756,0.18676537,0.37624848,-0.10125074,0.13522106,0.41933942
0.1626436,0.03830855,0.7778795,0.15658534,-0.046051014,0.7851296,0.24137312,-0.011188455,0.3736728,0.032169834,0.025212962,0.023098439,0.16870186,0.12266812,0.77062935,0.3030756,0.18676537,0.37624848,-0.10125074,0.13522106,0.41933942
0.27077898,0.034075238,0.78494436,0.26227325,-0.049845435,0.794472,0.27962288,-0.010311052,0.37514266,0.043946385,0.024834748,0.041653782,0.27928472,0.11799591,0.77541673,0.4934603,0.17835616,0.41738534,0.08786875,0.13781431,0.37442836
