pelvis_w,pelvis_x,pelvis_y,pelvis_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.99837554,0.010062392,0.04215932,-0.036979806,0.9837164,-0.015626881,-0.1779633,0.019667158,0.98513967,-0.06683602,0.12547404,-0.09637953,0.99945885,-0.018522086,-0.02123752,0.016968438,0.8097572,-0.013529204,0.5749236,-0.11650334,0.9941142,0.0069164857,-0.044333756,-0.09860754,0.5158434,0.01486466,0.84968275,-0.10827723
0.9972375,-0.029682718,0.050377116,-0.045808014,0.988593,-0.008781889,-0.14969328,0.014093098,0.98726165,-0.06260229,0.1219438,-0.08077675,0.9998599,-0.010819217,0.0020930998,0.012596864,0.78255814,-0.011911137,0.61413246,-0.10149905,0.99410814,0.0057559265,0.0038384513,-0.1081713,0.40857998,0.020401193,0.90723056,-0.09787132
0.99538493,-0.062462132,0.035843145,-0.06342395,0.9921153,-0.010044595,-0.12439158,-0.011532717,0.9899481,-0.063653305,0.10332112,-0.07263453,0.9994772,-0.008166736,0.02848542,-0.0129306475,0.7592422,-0.011603462,0.6436022,-0.0958795,0.9939429,0.0034746085,0.0018267566,-0.10982692,0.37460548,0.018540677,0.9228117,-0.08800868
0.9940796,-0.07791677,0.026562983,-0.07091553,0.99426633,-0.0128508415,-0.10146728,-0.03120325,0.99171525,-0.071102194,0.076636866,-0.074646756,0.9977844,-0.0077449605,0.05733655,-0.032845125,0.7396058,-0.010886638,0.6650982,-0.1025141,0.9953771,-0.0038947843,0.0023208915,-0.095936224,0.36761615,0.029760506,0.9261704,-0.07861896
0.99276716,-0.09409054,0.013369927,-0.073358774,0.9967919,-0.014031208,-0.06255438,-0.04791662,0.9947923,-0.06818002,0.043028418,-0.06235554,0.99626976,-0.0075431317,0.07038277,-0.049355637,0.7222205,-0.010502953,0.6854639,-0.09179552,0.9956155,0.00086831296,0.00023761815,-0.09353592,0.36630523,0.034205317,0.92837155,-0.05269312
0.99182695,-0.10384789,0.010802357,-0.07333657,0.99792606,-0.015027856,-0.028515495,-0.05571788,0.9963773,-0.06676711,0.0045040613,-0.052479133,0.99468446,-0.00858695,0.085278526,-0.057066485,0.70759755,-0.010849023,0.70149386,-0.08422709,0.99585295,-0.0027405533,4.21463e-05,-0.0909358,0.38176364,0.028925722,0.9225174,-0.048800107
0.99095947,-0.11452208,0.008116038,-0.06941222,0.9981122,-0.014677152,0.010863792,-0.058638297,0.99698955,-0.058105633,-0.03654541,-0.03605303,0.9935598,-0.009629321,0.09583794,-0.059675332,0.6960725,-0.012256582,0.7147075,-0.06727451,0.9959068,0.00015699427,-0.0008221766,-0.09038149,0.39207986,0.01594436,0.9187206,-0.04440059
0.98967487,-0.13075322,0.010168478,-0.05782515,0.99660516,-0.01201313,0.05945138,-0.055671483,0.9952225,-0.046259154,-0.08465278,-0.015037093,0.9935493,-0.009844737,0.09806229,-0.056095555,0.6868624,-0.01709602,0.7251578,-0.04553839,0.9958835,-0.0024831404,-0.00044919286,-0.09060663,0.40200797,-0.0047936114,0.91497505,-0.034455482
0.9879781,-0.14549816,0.015467508,-0.049903087,0.9930598,-0.009510571,0.10645057,-0.04909199,0.9898611,-0.03216793,-0.1380456,0.00915086,0.9935017,-0.009718411,0.10224363,-0.049051274,0.6815062,-0.02596577,0.73104763,-0.021078093,0.99610484,-0.008627316,-0.0019255535,-0.08773277,0.41751647,-0.03132183,0.9077518,-0.026182543
0.987381,-0.1496368,0.0074868393,-0.05129851,0.9907966,-0.009030366,0.13072903,-0.033916857,0.97907203,-0.01935237,-0.20071891,0.027483866,0.9914717,-0.00920897,0.12550615,-0.033868805,0.6884014,-0.03356105,0.72455066,-0.0018774758,0.9969791,-0.0016967098,-0.0019045252,-0.07762768,0.44119364,-0.05158291,0.8956672,-0.021625757
0.9869409,-0.15097176,0.005408598,-0.055908557,0.98803157,-0.007393078,0.15202351,-0.025052523,0.96176857,-0.003292957,-0.27073544,0.04114276,0.9886732,-0.0075002396,0.1477932,-0.025020659,0.7091482,-0.037432354,0.7038502,0.017389111,0.9969712,0.010578103,0.0007843707,-0.077044256,0.4800566,-0.057118323,0.87533796,-0.008164267
0.98708516,-0.14976417,0.009198908,-0.056114014,0.9843082,-0.005575336,0.17511131,-0.021027172,0.94057137,0.011505916,-0.33638278,0.0451621,0.98510194,-0.005671834,0.17058961,-0.021001356,0.73994726,-0.034410045,0.67104834,0.03143158,0.9967432,0.0066915187,0.020508345,-0.07770199,0.53833133,-0.057956614,0.84070337,0.0076186745
0.9876286,-0.14805901,0.01178095,-0.05029416,0.97973984,-0.0045929737,0.19939323,-0.018195795,0.91914856,0.02634761,-0.39037812,0.04556812,0.98056835,-0.0046693366,0.19527766,-0.018176354,0.7748181,-0.027962541,0.629989,0.04459534,0.9951583,0.0023944343,0.063840196,-0.07468909,0.6047179,-0.055047195,0.7941509,0.024706513
0.98816496,-0.14651288,0.02085295,-0.04036049,0.97463363,-0.0059638494,0.22245108,-0.023854995,0.9007579,0.04085784,-0.42996764,0.045754474,0.97436965,-0.005935611,0.22360457,-0.023862047,0.8097675,-0.02050662,0.58353555,0.057812758,0.9881267,-0.007445317,0.13156608,-0.07899716,0.6673649,-0.044702955,0.7419259,0.04660012
0.9886635,-0.14383215,0.033842888,-0.026673276,0.96890366,-0.0074812174,0.24501178,-0.03374636,0.8877776,0.053364288,-0.45512718,0.043154925,0.9692548,-0.007529706,0.24361919,-0.033735584,0.84233755,-0.010149125,0.53456265,0.06787558,0.97096735,-0.0058663418,0.2208515,-0.091719784,0.7258593,-0.024990082,0.6840608,0.067561336
0.99004614,-0.12981308,0.051876727,-0.016307373,0.96690893,-0.010593703,0.25274003,-0.03312462,0.8875116,0.05289447,-0.4568947,0.027792227,0.96248066,-0.010030049,0.26911214,-0.033299632,0.8710052,0.0060380655,0.48762664,0.059445627,0.9393287,0.0006305418,0.3274882,-0.102041855,0.79113925,-0.0025283615,0.6085293,0.061516732
0.9929587,-0.097552136,0.06565264,-0.01436025,0.9702193,-0.011451375,0.2417488,-0.010034656,0.90022475,0.03783743,-0.43377104,0.0025270048,0.95296425,-0.010792971,0.30270007,-0.010739653,0.89538306,0.021256598,0.44367886,0.031404156,0.8751894,0.0034534377,0.47516677,-0.0908192,0.8557575,0.008371477,0.51688296,0.020999873
0.9926353,-0.09802775,0.07096051,-0.005495586,0.977121,-0.00022341133,0.21221887,0.014056259,0.91355807,0.03278702,-0.4053842,-0.0004482298,0.9379555,-0.0021823263,0.34647036,0.013887597,0.9174971,0.022566505,0.3963886,0.023789678,0.79943126,0.003264196,0.59796864,-0.057727147,0.897018,0.0039460426,0.4419702,-0.0023228994
0.9939999,-0.091120146,0.060505863,0.00052921474,0.9796374,0.015754625,0.19525509,0.044020824,0.9251927,0.029867118,-0.3782646,0.006504012,0.921367,0.0067008217,0.38587135,0.04627245,0.93713963,0.017587796,0.34761322,0.025000421,0.77258176,-0.0144097945,0.63467205,-0.010049392,0.92901504,0.00044347558,0.3699735,-0.007094841
0.99427086,-0.090850145,0.055673838,0.008481893,0.982729,0.02151022,0.17800276,0.045781985,0.93638474,0.028040072,-0.34984887,0.0017786225,0.90416557,0.009044277,0.4241767,0.049768258,0.9547947,0.021096054,0.29593512,0.018557208,0.73715305,-0.013013633,0.6755707,-0.0063373013,0.95074743,0.007996995,0.30980304,-0.0061111464
0.99517864,-0.08462139,0.04784016,0.01303581,0.98578745,0.029817367,0.15769655,0.049655367,0.94913775,0.024347467,-0.31390893,0.0024351135,0.8839872,0.012420461,0.4639094,0.05657264,0.97039336,0.019302925,0.24028696,0.015037597,0.6839006,-0.010270706,0.7295023,0.00087946566,0.97363347,0.008254721,0.22778092,0.009251941
0.99644953,-0.07073306,0.04322274,0.014724694,0.98926085,0.03673705,0.13341369,0.04705463,0.9626964,0.018422907,-0.26991677,0.0046046944,0.8597336,0.015571962,0.50724196,0.0576304,0.98418343,0.014580626,0.1761313,0.012166103,0.6361109,-0.009034425,0.77154475,6.37583e-05,0.9901719,0.0029892821,0.13795045,0.022807973
0.99769986,-0.051804855,0.04094622,0.015313614,0.992458,0.044504948,0.10618319,0.04208819,0.97635436,0.011250714,-0.21565345,0.00995787,0.83102375,0.020014277,0.5528537,0.05789245,0.9948079,0.007570276,0.100655414,0.012978035,0.5854363,-0.0061996477,0.81069463,-0.00030043646,0.99878603,-0.0024354074,0.03447978,0.035094175
0.99859464,-0.029195998,0.03855198,0.021681193,0.99366117,0.052342176,0.09101422,0.040176984,0.9849447,0.004591398,-0.17207135,0.015946567,0.8007159,0.023743665,0.5953991,0.06156406,0.99809736,0.0007956092,0.05938129,0.01657531,0.5348325,-0.0018476114,0.8449323,0.006335512,0.999425,-0.0012909487,-0.006428659,0.033265382
0.99901855,0.0031479737,0.029746957,0.032665327,0.9948384,0.059448995,0.07027757,0.04269902,0.9847461,0.005598151,-0.17108108,0.031222945,0.7767562,0.024442561,0.6255337,0.06899241,0.99444324,-0.0030153675,0.10038111,0.031577192,0.5068784,-0.0124594085,0.8619036,0.0064225504,0.99992967,0.0050418577,-0.0014249755,0.010638024
0.9981732,0.025578188,0.035546057,0.04162178,0.9968132,0.06392435,0.03014099,0.036994297,0.9883489,0.005681595,-0.1489346,0.030862352,0.7523061,0.026038239,0.6546606,0.06911522,0.991734,-0.002892559,0.1244141,0.031247372,0.4893826,-0.020430941,0.8718297,0.00046925657,0.9998987,-0.0061580925,0.002515832,0.01258068
0.99731505,0.043549728,0.030984584,0.05005918,0.99773395,0.062587686,-0.010343941,0.022419399,0.99116606,0.006605063,-0.12548861,0.042411346,0.7331791,0.030170698,0.67677796,0.059241723,0.9876495,-0.0052594137,0.15068541,0.042599145,0.4571799,-0.019084496,0.8889662,-0.019010175,0.99994445,-0.00042341716,0.0037818972,0.009830738
0.9966079,0.05367071,0.03026976,0.054551095,0.99618983,0.065335214,-0.05636437,0.012655849,0.9943206,0.009515564,-0.09635747,0.0441717,0.71762204,0.035057694,0.69324577,0.05656701,0.9846337,-0.0024431492,0.1686852,0.045118906,0.44947392,-0.019987911,0.89271843,-0.025046363,0.9999986,0.0003118134,0.00048088105,0.0014896527
0.99554884,0.06982111,0.028779916,0.05638505,0.99173605,0.06449533,-0.11090233,-0.00077585113,0.9967748,0.010511099,-0.06301962,0.048558354,0.70962155,0.041142754,0.70162445,0.04967427,0.982082,-0.0016390549,0.18178679,0.049655918,0.44069248,-0.015553587,0.8969421,-0.03229554,0.99999124,-0.0039682253,-0.00057312817,0.0011905282
