right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,right_knee_vel,left_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
1.0873648,3.4916952,-0.43823892,0.41461045,-5.0359445,0.9815377,-0.84269595,8.899535,0.45820644,-2.2999492,5.3028994,-0.6492812,1.5341079,0.7792002
1.5375885,4.119731,-1.8359202,2.2054272,-4.504478,2.2129493,-1.0558392,8.6722765,0.14014664,-2.3322558,2.330064,-0.76884735,-3.8434691,0.8904548
1.365175,3.9783156,-0.40541247,1.9314358,-4.825983,1.2946945,-0.9738697,8.0094595,0.25917935,-2.1205328,1.0204095,0.4305128,-4.072848,-0.32034752
1.648879,4.1886406,-0.061064355,2.7725682,-6.180644,1.4289175,-2.5002701,7.651619,0.29998878,-1.4813691,0.38333133,0.9189476,-2.2405775,-0.86249566
0.30216527,4.2097397,-0.79133475,1.5858312,-7.1209383,1.150759,-2.960033,6.657812,0.9814342,-1.2986405,1.1685004,1.031053,-1.5451682,-1.2683144
-0.29082114,4.843723,-0.72810495,1.5265518,-7.620254,1.4084734,-3.9101896,5.3712835,0.002034545,-0.2566945,0.39099616,0.5276256,-1.7169409,-0.789529
-0.12615532,5.2963796,-0.73632765,1.7766867,-8.038533,1.0522723,-4.646979,4.5023274,-0.1385608,-0.41510078,-0.052242674,0.63572145,-3.0592995,-0.69151217
-0.054515712,5.5305634,-0.08764154,1.5285448,-8.255747,0.8915384,-5.0575175,3.3483272,1.1419392,-0.5752973,-0.7601141,0.4100579,-3.8083634,-0.54126763
0.05446275,4.6267066,-0.14803714,0.8890952,-7.7509656,0.5636345,-4.013368,1.353931,-0.33609223,1.6698962,-0.7004829,-0.1282371,-3.5972726,0.25112236
0.103803724,3.5267227,-0.94190556,0.4943378,-5.4991198,-0.34399232,-1.5447809,-1.3383152,0.22937235,4.1834693,-0.55787146,-0.43928394,-2.4223843,0.72511744
-0.027863003,1.7118514,-1.6471691,0.007389184,-3.7964003,-0.8800732,1.0841582,-3.7424767,0.039229363,7.149633,-1.2922125,-0.46600214,-1.3181411,2.210012
-0.054604657,0.62463516,-1.8009593,-1.4520351,-2.3531394,-0.95237464,0.45182312,-5.6825576,-0.23483339,10.746304,-0.563257,-0.053622138,-2.408282,2.2548714
-0.9382427,-2.4651215,-0.86780745,-3.9137993,2.0134692,-0.51958144,5.6393557,-9.128328,-0.084436476,12.990729,-2.01307,0.23383188,-5.2227154,-0.28732345
-1.7078531,-2.9392407,1.8228352,-4.6101604,3.6384878,0.20383069,7.0449615,-10.395504,-0.06567243,16.632336,-0.67805284,0.06907728,-6.4725866,-1.7573211
1.3615798,-4.2454,1.5615523,-1.6174321,4.665784,-0.09051663,10.872829,-11.587265,-0.62000155,5.9007745,1.3639249,0.65147316,-3.5095084,-1.4851801
