pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_x,right_shin_y,right_shin_z,left_shin_x,left_shin_y,left_shin_z,right_foot_x,right_foot_y,right_foot_z,left_foot_x,left_foot_y,left_foot_z
1.4351867,0.033315666,0.8479243,1.4334757,-0.05025631,0.8331395,1.4368976,0.116887644,0.8627092,1.6865013,-0.07239224,0.49670362,1.5547283,0.094774365,0.45857078,1.291362,0.03598006,0.48603752,1.643257,0.08355442,0.058533102
1.4846078,0.03047183,0.85361415,1.4823294,-0.052341476,0.8351057,1.4868861,0.11328516,0.8721226,1.7650381,-0.070994996,0.52297,1.5701888,0.10530079,0.4589665,1.3748075,0.04374184,0.47248456,1.6498978,0.09799582,0.056988314
1.5296739,0.027394,0.86052406,1.5312418,-0.0556122,0.8428234,1.5281061,0.110400185,0.8782247,1.8320123,-0.06938676,0.54778385,1.5943528,0.10970757,0.46191728,1.4474432,0.035814896,0.45274347,1.6611526,0.10839196,0.05752958
1.577064,0.02562632,0.8662695,1.5811247,-0.057395816,0.84904623,1.5730034,0.10864842,0.8834927,1.89567,-0.06781725,0.5685941,1.6211492,0.11126527,0.46471334,1.5214549,0.026986752,0.43086767,1.6680073,0.11380111,0.05753865
1.6235636,0.0235028,0.8684754,1.6300747,-0.059478346,0.851816,1.6170526,0.10648393,0.8851348,1.9588252,-0.06640575,0.58804315,1.645873,0.11135978,0.4646035,1.6013743,0.024228051,0.40913627,1.6745026,0.1160232,0.05576125
1.668383,0.021156268,0.8661408,1.6799673,-0.06145097,0.8504038,1.6567987,0.10376348,0.88187766,2.0198803,-0.06068956,0.60108566,1.681407,0.11169902,0.4611256,1.6704056,0.012431604,0.39980465,1.6831833,0.11979183,0.051339597
1.7162725,0.020504594,0.86171556,1.7291101,-0.061619487,0.8444925,1.7034348,0.10262864,0.8789386,2.0831366,-0.064619854,0.6156752,1.7054577,0.11425193,0.45755792,1.7422725,0.010029137,0.40065736,1.68564,0.12555012,0.04832332
1.7673341,0.020169273,0.859683,1.7784495,-0.062102083,0.84197223,1.7562188,0.102440596,0.8773938,2.1421506,-0.067584366,0.62891716,1.7296674,0.11292073,0.45681542,1.8078219,0.002012976,0.40225914,1.6843438,0.12264068,0.049575157
1.817036,0.018540552,0.85559785,1.8276192,-0.06389386,0.83832467,1.8064529,0.10097497,0.87287104,2.2002099,-0.07391937,0.6414068,1.7487566,0.11319748,0.45547116,1.8750685,-0.007018251,0.40098903,1.687262,0.12482382,0.050407566
1.8667085,0.017482124,0.85111594,1.8767179,-0.06505124,0.8339738,1.8566992,0.10001552,0.8682581,2.2565997,-0.079737686,0.651834,1.7703497,0.1127389,0.45584714,1.9412394,-0.018966697,0.39718127,1.6893452,0.12528215,0.054257475
