right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee,left_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_ankle_x,left_ankle_y,left_ankle_z
-0.13221323,-1.03851,0.09265108,-0.0747856,0.3008443,-0.09284157,1.4884415,0.18043986,0.036696453,0.44264925,-0.07968893,-0.05579236,0.4830315,0.10805123
-0.11491181,-0.94891286,0.1322313,-0.09035855,0.26869568,-0.10363715,1.3188719,0.32025158,0.03244686,0.40667415,-0.07857277,-0.056608703,0.5360282,0.11931261
-0.10503809,-0.85334915,0.16599154,-0.10602052,0.23589103,-0.11893517,1.139895,0.4622443,0.027720675,0.34196728,-0.094515674,-0.05877901,0.58424866,0.11806844
-0.10020203,-0.75234604,0.17680337,-0.12925903,0.20567402,-0.13633947,0.94789857,0.6043076,0.028269982,0.27369326,-0.13394514,-0.054857615,0.6278852,0.09664927
-0.08953352,-0.63816774,0.16614634,-0.14796907,0.17149684,-0.14103559,0.7255677,0.75855374,0.03229685,0.19798239,-0.1889381,-0.045106888,0.6794435,0.05684641
-0.071055375,-0.5205041,0.13711631,-0.16494304,0.15192604,-0.1454222,0.49295682,0.89642084,0.044230882,0.089394614,-0.23771022,-0.04184388,0.7324023,0.0070057088
-0.039845806,-0.44293934,0.11530094,-0.15486167,0.16103666,-0.12809975,0.31545526,0.98143613,0.045068182,-0.043081023,-0.23334837,-0.036442038,0.8114586,-0.015501231
0.053864095,-0.40277225,0.109715976,-0.06936996,0.14298251,-0.06981405,0.30474478,1.0849879,0.03365431,0.005724154,-0.24185114,-0.02317348,0.9611681,-0.024502147
0.121177636,-0.3202526,0.08708138,-0.010958242,0.1358281,-0.010689875,0.30644387,1.1983159,0.029440202,-0.05117804,-0.19393852,-0.027887825,0.961311,-0.0171792
0.14598005,-0.25244948,0.062718354,0.006278915,0.10127187,0.00041178393,0.31820235,1.3105655,0.018516544,-0.10840831,-0.12661979,-0.034494862,0.9210902,0.019514507
0.17054208,-0.14420822,0.0390436,0.047194876,0.060581654,0.028426375,0.26640543,1.4321321,0.029928083,-0.1383382,-0.08807169,-0.042447302,0.87392324,0.0594184
0.18313989,-0.06886892,0.029645082,0.074997075,-0.0114887785,0.041547302,0.22818469,1.5530925,0.027193937,-0.16875465,-0.06780739,-0.038741637,0.7969436,0.057364598
0.1993036,0.016751267,0.024637725,0.11897808,-0.08851536,0.057699487,0.17055567,1.6704915,0.036977902,-0.19109671,-0.060827784,-0.028995201,0.73851746,0.037094392
0.23173788,0.11088288,0.020423435,0.17932804,-0.1897843,0.06244346,0.07759416,1.7947348,0.032554217,-0.19506067,-0.06893678,-0.026726518,0.68815064,0.013886761
0.2622508,0.19382413,0.03293964,0.23957352,-0.31134003,0.0762176,-0.008470749,1.9180437,0.020389745,-0.20708455,-0.078568354,-0.021356372,0.63763434,-0.017028317
0.26735547,0.254042,0.07409973,0.27806917,-0.425982,0.0954259,-0.010539328,2.0263686,0.03471791,-0.2534866,-0.08712424,-0.0136386575,0.60428476,-0.043408707
0.26894197,0.29827046,0.10762426,0.31950605,-0.5678644,0.10894093,-0.0085602775,2.112091,0.05884821,-0.29266164,-0.09972606,-0.003179951,0.57629824,-0.043754894
0.266763,0.33604315,0.122315936,0.35063758,-0.71246237,0.096730225,-0.009183967,2.160138,0.050357927,-0.29980162,-0.10918125,-0.00617012,0.531038,-0.04299931
0.26392493,0.37929666,0.1227101,0.37539473,-0.8323811,0.069904484,-0.008397833,2.1685932,0.040980436,-0.26359195,-0.10914488,-0.011896292,0.47678086,-0.04098458
0.25948173,0.40966076,0.09745361,0.3942905,-0.9373676,0.040577076,0.0023675838,2.1395755,0.026322028,-0.18529038,-0.1087674,-0.0137329195,0.429272,-0.023618292
0.25585872,0.43279517,0.055524897,0.40209565,-1.0199077,0.005658577,-0.002874017,2.0784183,0.033059947,-0.044012908,-0.1118923,-0.0067768497,0.38070247,0.0024652355
