pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
-0.32635304,0.85996205,0.011167727,-1.5823859,-2.0577242,0.14309075,0.1534474,3.4084082,0.4956995,-1.6251248,-2.50269,0.089830615,0.1527181,3.423016,0.49630287,-1.011531,-6.3927402,0.33800742,-0.31328475,3.00029,0.76347685
-0.5294423,1.0206587,-0.25427333,-2.5336444,-0.93750745,0.8922625,0.17724687,3.3267114,0.017176846,-2.6773455,-2.7089288,0.7454583,0.17196728,3.4388788,0.022309368,-3.2597682,-8.102944,0.94250077,-0.30116475,5.627604,0.17890228
-0.91721547,1.1919672,-0.35360703,-2.575905,-0.12198256,0.801709,0.14178811,3.2650566,-0.23696887,-2.7740226,-3.0944138,0.6807986,0.14021824,3.303612,-0.23503463,-3.9406905,-8.871862,0.9823126,-0.64436805,8.232707,0.4947307
-1.0227362,1.1725237,-0.9074589,-1.9363153,1.2099115,0.8653386,-0.27847508,2.6652718,-1.5457637,-2.1680248,-3.3929644,0.8457316,-0.28348848,3.1204052,-1.5245537,-3.4390268,-8.540882,1.2862915,-0.47427595,11.59327,0.45730075
-1.5765338,1.282825,-1.4451907,-1.2619135,3.3499188,1.4095142,-0.6130383,1.5031369,-2.2589352,-1.4249977,-3.656191,1.5733167,-0.56196344,3.1705444,-2.1981294,-1.0626955,-7.0268755,2.971898,-0.34224766,14.727486,0.61309284
-0.9070889,0.8762319,-1.8769062,-0.97656244,3.9475203,1.1423299,-0.77771753,0.20602916,-1.3677337,-0.97250414,-4.080234,1.4916977,-0.5526481,4.2860546,-1.2683973,0.2820795,-5.792528,2.6750088,0.7188656,15.756637,1.8384073
-1.0105113,0.8393839,-1.696348,-0.190618,5.148443,0.54765457,-1.4827286,-1.9413496,-1.6074669,0.016496371,-4.748976,1.0435431,-0.8153652,6.5125837,-1.5475726,0.68175393,-5.5632243,1.4460632,-0.4330024,11.801135,0.19702603
-0.5956367,0.28455356,-1.0512398,-0.8362727,5.3335114,1.3591133,-1.6326267,-1.9316472,-1.6417009,-0.36681026,-4.7971463,1.9620619,-0.6934556,6.536864,-1.8124726,-0.48791713,-6.8190875,2.2801747,-0.36993667,9.4627,-1.2220812
-0.49531832,0.2553366,-0.86456114,-0.8217822,5.5575624,1.1548986,-1.9068666,-1.9485474,-1.5532953,-0.017950742,-5.1296635,1.88767,-0.72566354,6.6235013,-1.9581742,-0.67922807,-8.852358,1.4700602,-0.8169659,9.366361,-1.7597979
-0.36999354,0.13651809,-0.9609884,-0.40688652,5.740552,-0.15935403,-2.3438876,-1.7804179,-1.5526026,0.5694437,-5.693958,0.6341039,-0.96831214,6.6765037,-2.2232232,-0.44365722,-9.70063,-1.1802181,-1.9265124,9.250848,-2.7653008
-0.62117875,0.26576915,-0.76331556,-0.06582062,6.666784,-1.1248025,-2.4070334,-2.331301,-0.61833066,1.0219188,-6.8233337,-0.2854216,-0.7532721,7.2074766,-1.6598606,0.24128969,-11.258112,-3.0235002,-2.597901,10.312762,-2.7077658
