pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
2.3115697,-0.1274819,-0.12450888,3.6537807,0.12270051,-0.06990936,1.5208862,0.03289732,-0.16621754,4.8853264,0.30843902,0.5630695,0.33317447,0.08266915,-0.20353313,4.8463187,0.41222033,1.1027178,-0.03278791,0.076778725,-0.06286551
2.2710884,-0.0933168,-0.1153099,3.7275035,0.0081000645,0.07064652,1.4276372,0.05553572,-0.06814712,5.1197395,0.12058503,0.6066594,0.28188017,0.01059206,-0.08653498,5.0935335,0.39035687,0.8910609,0.020290077,-0.006028354,0.008993393
2.2795932,-0.052791562,-0.13087353,3.8024065,-0.08501205,0.30563477,1.3385952,-0.0074637625,-0.053518087,5.3179903,-0.05537476,0.7231987,0.17769334,-0.04515983,-0.042144697,5.3267217,0.24202842,0.59628916,0.0012403056,0.014715638,0.016154176
2.3343568,0.039666068,-0.23748504,3.8119502,-0.2516911,0.46654332,1.3522681,0.04807319,-0.1230721,5.356323,-0.4090866,0.7966561,0.14293307,-0.013962367,-0.040164836,5.4177947,-0.09426274,0.2823129,0.0086008245,0.021471437,0.0021439455
2.4505775,0.05170036,-0.33765647,3.8525841,-0.35972282,0.65525734,1.3092642,0.022483917,-0.115799755,5.422342,-0.54062307,0.92646915,0.032418422,-0.041400503,0.0465059,5.6172676,-0.12743865,-0.026243856,0.016848449,0.0066298535,0.039817177
2.5678365,0.05039334,-0.4700348,3.7867918,-0.42074543,0.71771157,1.3319288,0.026799526,-0.14524771,5.2643557,-0.6176059,0.92764413,0.090573326,-0.011411995,0.13275908,5.644623,-0.20464906,-0.32724962,0.12728798,0.13736524,0.092532165
2.7148821,0.01877716,-0.36750212,3.573261,-0.3643942,0.7730935,1.5938094,-0.030053988,-0.038929466,4.820754,-0.6022023,0.7730618,0.36702013,-0.017447513,0.38682014,5.429595,-0.47271085,-0.6837139,0.11782737,0.09210936,0.30936903
2.8985658,0.049643733,-0.10693196,3.4054487,-0.33040693,0.8024795,1.7973711,-0.05789867,0.24011514,4.4226274,-0.72324103,0.522873,0.5817382,-0.024850171,0.77514076,5.3021708,-0.9631438,-0.99702734,0.15647507,0.08771591,0.61201257
2.919051,-0.0042222086,0.24431017,3.1567824,-0.24308115,0.71325064,2.2951179,-0.03929691,0.469828,3.9465716,-0.6573371,0.09726955,1.2048273,0.01605052,1.0266273,4.947165,-1.1402705,-1.2393727,0.26969057,0.024595605,0.9033335
3.0061736,-0.0849367,0.512595,2.9639332,-0.12303086,0.61627465,2.578233,-0.09890473,0.61876,3.5976577,-0.5784933,-0.29780358,1.7441032,0.06840202,1.0915169,4.684933,-1.4205877,-1.421861,0.6872397,0.107182905,0.9525937
3.059592,-0.15011704,0.89114046,2.6013203,-0.15349238,0.5115097,3.100676,-0.24113542,0.6451294,2.9394429,-0.21028352,-0.8704702,2.5921893,-0.009980279,0.9750912,4.097038,-0.6011992,-1.8255137,1.2012117,0.073889785,1.0503514
3.0063815,-0.122484505,0.70935786,2.4422905,-0.15745823,0.25844315,3.2314878,-0.2180397,0.5089309,2.838406,-0.15425307,-1.094814,2.7903304,-0.18838465,0.8532573,4.152538,-0.1650739,-1.9603521,1.2048242,-0.16812325,1.2687824
